date,"Deloitte Deutschland","Deutsche Bahn",Microsoft,Accenture,Siemens,WABCO,"Dassault Systèmes",EY,"CA Technologies","See More","REWE Group",PwC,Bosch,"Daimler AG",Fraunhofer-Gesellschaft,Deloitte,"KPMG in Deutschland",Lufthansa,"BMW Group",MBDA,"ProSiebenSat.1 Media AG","MBtech Group GmbH &amp; Co. KGaA","Allianz Group","Akka Technologies","Computer Futures, ein Geschäftszweig der SThree GmbH","Goodgame Studios","Procter &amp; Gamble","State Street",Veolia,"Universität zu Köln","Arca24.com SA","Salzgitter AG","Aldi Einkauf GmbH &amp; Co oHG",Bayer
2015-05-27,50,,,,,,,,,18,263,208,51,18,57,44,,,21,22,,,,,,18,,,18,28,21,18,,19
2015-05-27,50,,,,,,,,,18,263,205,51,45,51,43,,,20,22,,,,,,18,,,18,28,21,18,,19
2015-05-28,50,,,,,,,,,18,263,205,51,45,51,41,,,22,22,,,,,,18,,,18,28,21,18,,19
2015-05-28,50,,,,,,,,,18,263,205,51,45,51,41,,,22,22,,,,,,18,,,18,28,21,18,,19
2015-05-29,51,36,,,,,,,,18,269,205,53,50,52,44,,,24,22,,,,,,,,,18,26,20,18,,19
2015-05-30,51,36,,,,,,,,17,255,205,53,50,53,42,,,25,23,,,,,,17,,,18,26,,19,17,
2015-05-31,51,33,,,,,,,,17,254,205,53,50,53,43,,,25,23,,,,,,17,,,18,27,19,19,,
2015-06-01,51,34,,,,,,,,17,255,205,52,49,53,38,,,25,23,,,,,19,18,,,18,28,17,,,
2015-06-02,49,33,21,,,,,,,16,255,205,52,48,53,39,,,25,23,,,,,19,17,,,18,16,,,,
2015-06-03,49,33,21,,,,,,,16,257,205,55,61,53,47,,,25,23,,,16,,22,19,,,18,,,,,
2015-06-04,50,33,21,,,,,,,19,232,207,53,61,54,46,,30,25,23,,,28,,23,19,,,,,,,,
2015-06-05,51,33,21,8,10,7,9,5,,5,,,,,,,,,,,,,,,,,5,5,,,,,,
2015-06-06,51,34,21,,,,,,,21,243,209,49,65,54,45,,29,26,23,,22,25,,21,,,,,,,,,
2015-06-07,54,38,21,,,,,,,20,244,207,49,63,54,46,,29,26,23,,20,24,,,20,,,,,,,,
2015-06-08,54,38,21,,,,,,,19,242,207,49,56,54,40,,29,26,23,,20,25,,19,,,,,,,,,
2015-06-09,54,37,21,,,,,,,19,241,209,50,51,56,47,,29,26,23,,20,25,19,,,,,,,,,,
2015-06-10,54,37,21,,,,,,,19,241,209,50,50,56,44,,29,25,23,,20,23,19,,,,,,,,,,
2015-06-11,72,39,21,18,8,7,8,5,,5,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,73,41,21,18,8,7,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-13,75,41,21,,,,,,,20,235,206,68,62,59,45,33,29,24,24,20,20,,,,,,,,,,,,
2015-06-14,76,44,21,18,9,7,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
