date,"Optimus Search","Deloitte Deutschland","Goodgame Studios",PwC,Deloitte,Amazon,IBM,"Bayer HealthCare","BMW Group",Bosch,"Allianz Group",GfK,"KOMMLINk GmbH",TARGOBANK,"Rocket Internet SE","See More","Daimler AG","Computer Futures, ein Geschäftszweig der SThree GmbH","Infomotion GmbH","Novartis Consumer Health","PENTASYS AG"
2015-05-27,14,29,27,26,27,25,20,26,13,17,,,13,15,11,11,12,,15,,
2015-05-27,13,29,27,25,27,25,20,26,12,17,,,13,14,11,11,15,,15,,
2015-05-28,13,29,33,25,24,25,19,26,15,17,,,13,14,12,12,15,,15,,
2015-05-28,13,29,33,25,24,25,19,26,15,17,,,13,14,12,12,15,,15,,
2015-05-29,13,31,32,25,24,25,19,26,14,17,,,13,11,,10,18,,15,10,
2015-05-30,13,31,32,25,25,25,20,24,14,18,,,13,11,,10,17,,15,10,
2015-05-31,12,30,32,25,26,25,20,24,14,18,,,13,11,,10,17,,15,10,
2015-06-01,12,30,33,25,25,25,20,24,14,17,,,13,,,10,17,,15,10,10
2015-06-02,14,30,30,25,24,25,20,24,14,17,,,13,,,10,17,,15,10,10
2015-06-03,19,30,32,25,26,24,20,24,16,17,,,13,,11,11,16,12,15,,
2015-06-04,32,31,32,25,30,24,20,24,16,16,14,,13,11,,11,15,13,,,
2015-06-05,40,30,32,25,28,24,19,24,16,16,14,14,13,11,,11,13,,,,
2015-06-06,40,32,32,25,31,26,20,24,15,16,14,14,13,12,,12,15,,,,
2015-06-07,40,34,33,27,32,25,20,24,16,16,14,14,13,12,,12,15,,,,
2015-06-08,40,34,31,27,26,25,23,23,16,16,15,14,13,12,11,11,,,,,
