date,Deloitte,"Helvetia Seguros España",Coritel,Capgemini,everis
2015-05-28,20,,,8,7
2015-05-29,20,9,,8,8
2015-05-30,20,,,8,7
2015-05-31,20,11,,8,7
2015-06-01,20,,,8,7
2015-06-02,20,,,8,7
2015-06-03,20,,,8,8
2015-06-04,17,,,,
2015-06-05,20,,6,8,5
2015-06-06,20,,6,8,5
2015-06-07,20,15,6,8,5
2015-06-08,20,,6,8,
2015-06-09,18,,,,
2015-06-10,17,,,,
2015-06-11,19,,,,
2015-06-12,20,10,7,8,
2015-06-13,18,6,7,8,
2015-06-14,17,,,,
2015-06-15,18,,,,
2015-06-16,18,,,,
2015-06-17,18,,,,
2015-06-18,16,,,,
2015-06-19,16,14,9,8,
2015-06-20,16,14,9,7,
2015-06-21,16,,,,
2015-06-22,16,,9,6,
2015-06-23,16,,,,
2015-06-24,16,,,,
2015-06-25,16,,7,6,
2015-06-26,16,,,,
2015-06-27,15,,,,
2015-06-28,15,,,,
2015-06-29,15,14,6,,
