date,"Confidential Company - Undisclosed","BNP Paribas","Société Générale","Alstom Group","Airbus Group","Dassault Systèmes","SEGULA Technologies",HSBC,Thales,"Allianz Group","Veolia Energy","EADS Defence &amp; Security",Deloitte,Atos,"See More","Crédit Agricole"
2015-05-27,139,21,28,14,15,11,11,7,6,,,6,7,,6,30
2015-05-27,139,21,28,14,15,11,11,7,6,,,6,7,,6,30
2015-05-28,131,21,28,15,14,15,10,7,6,,,6,7,,6,30
2015-05-28,131,21,28,15,14,15,10,7,6,,,9,7,,6,32
2015-05-29,134,21,28,14,14,15,10,,7,,,8,7,,7,32
2015-05-30,153,21,24,16,14,15,10,,7,,,8,7,,7,
2015-05-31,145,20,27,16,13,15,10,,7,,7,9,7,,7,
2015-06-01,113,20,27,19,15,15,11,,7,,7,9,7,,7,
2015-06-02,113,20,27,19,15,15,11,,8,,7,9,7,,7,
2015-06-03,141,19,23,20,15,14,10,8,6,,8,9,7,,6,
2015-06-04,141,20,21,19,15,14,10,7,7,7,8,9,7,7,7,
2015-06-05,107,20,21,19,16,13,9,7,8,7,8,9,7,7,7,
2015-06-06,113,21,21,20,17,13,9,8,8,8,8,8,7,7,7,
