date,Deloitte,Thales,Inria,"Sopra Steria",Alcatel-Lucent,"Dassault Systèmes","See More","BNP Paribas",EY,"Confidential Company - Undisclosed","Société Générale",HSBC,"Allianz Group","Airbus Group","Veolia Energy","EADS Defence &amp; Security"
2015-05-27,6,9,6,,,,5,24,,121,13,5,,6,,
2015-05-27,6,9,6,,,,5,26,,121,13,5,,6,,
2015-05-28,6,8,6,,,6,5,26,,152,13,5,,6,,
2015-05-28,6,8,6,,,6,5,26,,152,13,5,,6,,5
2015-05-29,6,8,6,,,6,5,26,,249,14,,,6,,5
2015-05-30,6,8,6,,,6,6,26,,861,14,,,6,,6
2015-05-31,6,8,6,,,6,,,,,,,,,,
2015-06-01,6,9,6,,,7,5,25,,646,15,,,6,5,5
2015-06-02,6,8,6,,,7,5,25,,646,15,,,6,5,
2015-06-03,6,5,6,,,6,5,26,,272,14,6,,6,5,
2015-06-04,6,6,6,,,7,5,26,,272,14,5,5,6,5,
2015-06-05,6,6,6,,,7,5,26,,105,14,5,5,6,5,
2015-06-06,6,7,6,,,7,5,27,,83,14,6,5,6,5,
2015-06-07,6,6,6,,,7,,,,,,,,,,
2015-06-08,6,6,6,,,7,5,26,,80,16,5,5,6,5,
2015-06-09,6,6,6,,,7,5,26,,83,13,5,5,5,5,
2015-06-10,6,6,6,,,8,5,28,,79,15,5,5,5,5,
2015-06-11,6,6,6,,,7,,,,,,,,,,
2015-06-12,6,8,6,,,7,5,29,,84,14,6,,5,5,
2015-06-13,6,8,6,,,7,5,29,,93,15,5,,5,5,
2015-06-14,6,8,6,,,7,,,,,,,,,,
2015-06-15,6,7,6,,,7,,,,,,,,,,
2015-06-16,6,7,6,,,7,,,,,,,,,,
2015-06-17,6,10,6,,,7,5,28,,89,13,6,5,,5,
2015-06-18,6,8,6,,5,7,,,,,,,,,,
2015-06-19,6,8,6,,5,7,,,,,,,,,,
2015-06-20,6,8,6,,5,7,5,29,,101,13,6,5,5,,
2015-06-21,6,8,6,,5,7,,,,,,,,,,
2015-06-22,6,9,6,9,5,8,5,29,,117,13,6,5,5,,
2015-06-23,6,8,8,9,5,8,5,31,,132,13,6,5,5,,
2015-06-24,6,8,8,9,5,7,5,32,,94,15,6,5,,,
2015-06-25,8,7,9,8,5,8,5,,,,,,,,,
2015-06-26,8,,9,8,5,7,,,,,,,,,,
2015-06-27,8,,9,8,5,7,,,,,,,,,,
2015-06-28,8,7,8,8,5,7,5,33,,151,16,9,5,,,
2015-06-29,8,8,8,8,5,8,5,33,,151,15,8,5,,,
2015-06-30,8,9,9,8,5,8,5,33,,139,15,8,5,,,
2015-07-01,8,6,6,8,5,9,5,29,,122,13,8,,,,
2015-07-02,8,,8,8,5,9,5,29,,,,,,,,
2015-07-03,8,,8,8,5,9,5,29,,,,,,,,
2015-07-04,8,,8,8,5,9,5,28,,,,,,,,
2015-07-05,8,,8,8,5,9,5,28,,,,,,,,
2015-07-06,8,,8,8,5,9,5,28,,,,,,,,
2015-07-07,8,,8,8,5,8,5,28,,,,,,,,
2015-07-08,8,,9,8,5,9,5,31,6,,,,,,,
2015-07-09,8,,7,8,5,9,5,31,6,,,,,,,
2015-07-10,8,,7,7,5,9,5,33,5,,,,,,,
2015-07-11,8,,7,7,5,9,5,33,5,,,,,,,
2015-07-12,8,,7,7,5,9,5,36,5,,,,,,,
2015-07-13,8,,7,6,5,,5,36,5,,,,,,,
2015-07-14,8,,7,6,5,5,5,36,,,,,,,,
2015-07-15,8,,7,6,5,5,5,36,,,,,,,,
2015-07-16,8,,7,6,5,5,5,36,,,,,,,,
2015-07-17,8,,7,6,5,5,5,36,,,,,,,,
2015-07-18,8,,7,6,5,5,5,38,,,,,,,,
2015-07-19,8,,7,6,5,5,5,38,,,,,,,,
2015-07-20,8,,7,6,5,5,5,37,,,,,,,,
2015-07-21,8,,8,6,5,5,5,37,,,,,,,,
2015-07-22,8,7,8,6,5,6,5,37,,,,,,,,
2015-07-23,8,7,6,6,5,5,5,,,,,,,,,
