date,Jaywing,Deloitte,"Erin Associates Ltd","Amazon UK","Aimia Inc",GSK,aboutyourecruitment,"The MathWorks",CEB,"JPMorgan Chase &amp; Co.",Fidessa,"Experis IT","QA Apprenticeships",IBM,EY,"See More","Credit Suisse","Allianz Group",Hays,"Morgan Stanley",Adzuna,Sky,"Southern Water","Johnson &amp; Johnson",IHS,"Financial Times",Schroders,QIAGEN,"ODF Technologies, Inc.",PAREXEL,Google,"Wellcome Trust Sanger Institute"
2015-03-11,,,10,29,,,,15,16,30,10,,9,,11,8,,,16,,,9,,,,,11,12,,56,8,8
2015-03-12,,43,10,29,22,,,15,13,31,10,,9,,11,9,,,16,,,9,,,,,10,12,,57,,
2015-03-16,,44,,27,24,,,15,13,38,11,,9,,12,9,,11,13,,,9,,,,,9,13,9,,,
2015-03-18,,47,,28,23,12,,15,13,38,11,,10,,14,9,,11,21,,,11,,,,,9,13,,,,
2015-03-18,,47,,28,23,12,,15,13,38,11,,10,,14,9,,11,22,,,11,,,,,9,13,,,,
2015-03-19,,47,,31,23,11,,15,15,35,11,,10,,14,9,,11,22,,,11,,,,,9,13,,,,
2015-03-20,,46,,32,19,13,,15,16,34,11,,10,,11,9,,9,22,,,10,,,,,9,10,,,,
2015-03-21,,47,,32,19,13,,15,16,34,11,,10,,11,9,,9,22,,,10,,,,,9,9,,,,
2015-03-22,,47,,32,19,13,,15,16,34,11,,10,,11,9,,9,22,,,10,,,,,9,9,,,,
2015-03-23,,46,,36,19,18,,15,16,32,11,,10,,11,8,,,20,9,,9,,8,,,8,,,,,
2015-03-24,,46,10,36,21,16,,14,16,32,11,,10,,12,8,,,21,9,,10,,8,,,,,,,,
2015-03-25,,46,10,37,21,18,,14,15,30,11,,10,,12,8,,,21,9,,8,,8,,,,,,,,
2015-03-26,,48,14,36,22,18,,14,14,30,11,,10,,12,8,,,20,8,,8,,8,,,,,,,,
2015-03-27,,49,14,37,22,16,,14,14,30,11,,10,,12,8,,,17,,,8,,8,,8,,,,,,
2015-03-28,,49,14,35,22,16,,14,14,29,11,,10,,12,8,,,16,,,8,,8,,8,,,,,,
2015-03-29,,49,14,36,25,17,,14,14,29,11,,10,,12,8,,11,16,,,8,,8,,,,,,,,
2015-03-30,,49,14,35,25,16,,14,14,29,11,,10,,11,8,,,14,,,8,,8,8,,,,,,,
2015-03-31,,50,14,33,27,15,,15,14,28,11,,10,,11,8,,,17,,,8,,8,8,,,,,,,
2015-04-01,,49,15,33,27,15,,15,14,,11,,10,,11,8,,,14,8,20,10,,8,,,,,,,,
2015-04-02,,47,11,31,27,15,,15,13,,11,10,10,9,11,9,,,14,,20,9,,,,,,,,,,
2015-04-03,,46,9,30,26,15,,15,13,,11,12,10,9,12,9,,,17,,25,9,,,,,,,,,,
2015-04-04,,45,9,29,26,15,,15,13,8,,13,9,,12,6,,,16,,25,9,6,,,,,,,,,
2015-04-05,,47,12,30,25,15,,15,13,,11,13,10,9,12,9,,,16,,25,9,,,,,,,,,,
2015-04-06,,45,10,30,25,14,,15,13,,11,12,10,9,11,9,,,16,,25,9,,,,,,,,,,
2015-04-07,,46,31,30,25,14,,15,13,,11,11,10,9,10,9,,,14,,18,9,,,,,,,,,,
2015-04-08,,45,43,31,26,14,,15,13,9,11,10,10,9,9,9,,,12,,17,,,,,,,,,,,
2015-04-09,,48,37,31,,14,,15,13,9,11,12,10,,10,9,9,,9,9,16,,,,,,,,,,,
2015-04-10,,48,37,30,,14,,15,13,11,11,12,10,,10,9,9,,10,9,16,,,,,,,,,,,
2015-04-11,,45,31,32,26,15,11,14,13,11,11,14,10,,10,10,,11,10,,,,,,,,,,,,,
2015-04-12,,45,31,32,26,15,11,13,13,11,11,14,10,,10,9,,11,,9,,,,,,,,,,,,
2015-04-13,,45,31,32,26,15,11,13,12,11,11,14,10,,10,9,,9,11,,,,,,,,,,,,,
2015-04-14,68,46,23,31,25,15,13,13,12,11,11,,10,,8,8,8,8,,,,,,,,,,,,,,
2015-04-15,68,46,39,31,27,15,14,13,12,11,11,11,11,8,8,8,,,,,,,,,,,,,,,,
