date,Teradata,EY,"HM Revenue &amp; Customs",INRIX,Xcede,Hays,"Tesco PLC","Drayson Technologies Ltd",King,"Aimia Inc","PwC UK","Christie + Co","Royal Bank of Scotland","CD Recruitment","See More",Gigya,Elsevier,"KDR Recruitment Ltd","RELX Group","KPMG UK",Deloitte,FactSet,"Confidential Company - Undisclosed","Berico Technologies",Accenture,IBM,CenturyLink,"Computer Futures","Datascope Recruitment Ltd.","CD IT Recruitment",PubMatic,"Bloomberg LP","Appian Corporation","Experis IT","Credit Suisse","Cambridge Assessment",Broadridge,ARM,"Towers Watson",Citi,PAREXEL,mployability,Microsoft,Aviva,"BAE Systems Applied Intelligence","IC Resources",Worldpay,"BGC Partners","Benson Price Consultants Ltd.","CDK Global","Zest 2 Recruitment","OgilvyOne Worldwide","G2 Worldwide","Bodhi Resourcing","App Annie","Xpat Jobs.com",CareerBuilder.com,GroupM,"Reed Business Information","Full Circle Recruitment Ltd","JPMorgan Chase &amp; Co.","Careerwise, Inc",Vodafone,"Vodafone UK",RB,"Reed Elsevier",UBS,"Dun &amp; Bradstreet",Apigee,Acrotrend,"Deloitte UK"
2015-03-11,25,18,,,16,8,,,,7,,,,,6,,11,,,,,8,,,,7,,,,,,,6,,,,,,,,,,,,,,,11,,24,,,,,9,,,,,,,,,,,20,,20,,,7
2015-03-12,24,18,,,16,,,,,8,,,,,5,,,,,,37,8,,,,,,,,,,,6,,,,,,,,,,,,,,,,,25,,,,5,9,,,,,,,,,,,20,,14,6,5,
2015-03-16,25,19,,,16,,,,,,,,,,6,,7,,,,36,27,,,,9,,,,,,,6,,,,,,,,,,,6,,,,8,,21,,,,,9,,,7,,,,,,,,151,6,,,,
2015-03-18,24,19,,,15,,,,,7,,,,,6,,7,,154,,35,26,,,,9,,,,,,,,,,,,,,,,,,,,,,8,,21,,,,,9,,,,,,,,8,9,6,,,,,,
2015-03-18,24,19,,,14,,,,,,,,,,6,,6,,154,,35,26,,,,9,,,,,,,,,,,,,,,,,,,,,,9,,21,,,,,9,,,6,,,,,7,9,6,,,,,,
2015-03-19,32,19,,,13,,,,,9,,,,,6,,,,157,,35,25,,,,9,,,,,,,6,,,,,,,,,,,,,,,9,,20,,,,,9,,,6,,,,,7,9,,,,,,,
2015-03-20,32,18,,,13,,,,,11,,,,,6,,,,157,,34,25,,,,9,,,,,,,,,,,,,,,,,,,,,,9,,20,,,,,9,,,6,,,7,,7,9,,,,,,,
2015-03-21,32,18,,,13,,,,,11,,,,,6,,,,157,,35,25,,,,9,,,,,,,,,,,,,,,,,,,,,,9,,20,,,,,9,,,6,,,7,,7,9,,,,,,,
2015-03-22,32,18,,,13,,,,,11,,,,,6,,,,157,,35,25,,,,9,,,,,,,,,,,,,,,,,,,,,,9,,20,,,,,9,,,6,,,7,,7,9,,,,,,,
2015-03-23,31,18,,,13,,,,,11,,,,,6,,,,150,,37,25,,,,11,,,,,,,,,,,,,,7,,,,,,,,9,,20,,,,,9,,,6,,,7,,7,,,,,,,,
2015-03-24,30,18,,,13,,,,,11,,,,,6,,,,150,,37,25,,,,11,,,,,,,6,,,,,,,,,,,,,,,10,,17,,,,,9,,,6,,,10,,6,,,,,,,,
2015-03-25,30,18,,,13,,,,,11,,,9,,6,,,,145,,34,25,,,,11,,,,,,,,,,,,,,,,,,,,,,8,,17,,,,,9,,,,,7,9,,6,,,,,,,,
2015-03-26,30,17,,,13,,,,,11,,,9,,7,,,,138,,34,23,,,,10,,,,,,,,,,,,,,,,,,,,,,8,,16,,,,,8,,,,,7,9,7,,,,,,,,,
2015-03-27,30,17,,,13,,,,,10,,,13,,6,,,,134,,34,23,,,,11,,,,,,,,,,,,,,,,,,,,,,8,,17,,7,,,8,,,6,,,9,,,,,,,,,,
2015-03-28,31,17,,,15,,,,,10,,,13,,6,,,,134,,36,22,,,,11,,,,,,,,,,,,,,,,,,,,,,8,,17,,7,,,8,,,6,,,9,,,,,,,,,,
2015-03-29,31,17,,,15,,,,,10,,,13,,6,,,,135,,36,22,,,,11,,,,,,,,,,,,,,,,,,,,,,8,,17,,7,,,8,,,6,,,9,,,,,,,,,,
2015-03-30,32,17,,,15,,,,,10,,,13,,6,,,,133,,36,23,,,,12,,,,,,,,,,,,,,,,,,,,,,7,,17,,7,,,8,,,6,,,9,,,,,,,,,,
2015-03-31,31,17,,,16,,,,,11,,,14,,5,,,,82,,36,22,,,,10,,,,,,,6,,,,,,,,,,,,,,,,,16,,7,,,,,,5,,7,9,,,,,,,,,,
2015-04-01,30,17,,,16,,,,,11,,,14,,6,,,,6,,32,,,,,8,,,,,,,6,,,,,,,,,,,,,,,,,15,,,,,8,,,,,7,,,,,,,,,,,
2015-04-02,32,17,,,15,,,,,11,,,15,,7,,7,,128,,31,22,,,,15,,,,,,,,,,,,,,,,,,,,,,,,14,,7,,,8,,,7,,7,,,,,,,,,,,
2015-04-03,30,17,,,15,,,,,11,,,16,,7,,7,,124,,31,22,,,,15,,,,,,,,,,,,,,,,,,,,,,,,14,,7,,,8,,,7,,7,,,,,,,,,,,
2015-04-04,31,17,,,15,,,,,11,,,16,,7,,7,,124,,33,22,,,,15,,,,,,,,,,,,,,,,,,,,,,,,13,,7,,,8,,,7,,7,,,,,,,,,,,
2015-04-05,31,17,,,15,,,,,10,,,16,,7,,7,,125,,31,22,,,,15,,,,,,,,,,,7,,,,,,,,,,,,,13,,7,,,8,,,7,,,,,,,,,,,,,
