date,EY,"Baltic Training Services","Amazon UK","National Tyres and Autocare","Academics Ltd - Australian Office",First4Skills,"QA Apprenticeships",Amazon,AECOM,HOB,FICO,"Rockstar Games",aboutyourecruitment,Thales,"Moody&#39;s Corporation","See More","Credit Suisse",Adzuna,"The University of Manchester","The Real Apprenticeship Company Ltd.","REESON Education","The Ernest-Jones Group, Inc.",QinetiQ,"The MathWorks",Hays,Markit,"JPMorgan Chase &amp; Co.","Term Time Teachers Ltd","St Austell Brewery","Drive Management",CGG,"Morgan Stanley","CH2M HILL"
2015-03-11,57,,25,,,,18,,15,15,13,14,,12,15,10,,,11,,,,,,14,,18,,,11,,12,10
2015-03-12,58,,25,,,,18,,15,15,14,14,,12,17,10,,,10,,,,,,16,,18,,,11,,11,10
2015-03-16,59,,24,,,,18,,15,16,15,14,,21,18,11,,,15,,,,,,17,,18,,,11,12,11,
2015-03-18,57,,23,,,,18,,16,15,14,14,,21,15,11,,,14,,,,,,15,,20,,,11,12,11,
2015-03-18,55,,23,,,,18,,16,15,14,14,,21,15,11,,,14,,,,,,15,,20,,,11,12,11,
2015-03-19,55,,25,,,,18,11,15,14,15,15,,20,15,11,,,15,,,,,,15,,20,,13,,12,,
2015-03-20,56,,25,,,,18,11,15,14,14,15,,20,14,11,,,15,,,,,,12,,20,,13,,12,,
2015-03-21,56,,25,,,,18,11,15,14,14,15,,20,14,11,,,15,,,,,,12,,20,,13,,12,,
2015-03-22,56,,25,,,,18,11,15,14,14,15,,20,14,11,,,15,,,,,,12,,20,,13,,12,,
2015-03-23,56,,28,,,,18,12,13,14,14,15,,20,15,11,,,16,,11,,,,,,20,,13,11,,,
2015-03-24,57,,28,,,,19,12,13,15,14,15,,20,14,11,,,13,,,,,,11,,19,,13,11,,,
2015-03-25,56,,31,,,,19,17,14,15,15,14,,20,14,11,,,14,,,,,,11,,19,,13,11,,,
2015-03-26,56,20,31,,,,19,14,14,15,15,14,,20,13,13,,,,14,,,,,13,,20,14,,,,,
2015-03-27,57,21,31,,,,19,13,14,15,15,14,,20,13,13,,,17,14,,,,,13,,20,,,,,,
2015-03-28,57,21,31,,,,19,13,14,15,15,14,,20,13,13,,,15,14,,,,,13,,19,,,,,,
2015-03-29,57,23,31,,,,19,13,14,17,15,14,,20,,13,,,15,14,,14,,,13,,19,,,,,,
2015-03-30,56,20,30,,,,19,12,14,16,15,14,,20,,12,,,14,14,,13,,,12,,18,,,,,,
2015-03-31,57,23,31,,,,19,13,14,16,15,14,,20,12,12,,,18,14,,,,,15,,18,,,,,,
2015-04-01,57,22,32,,,,19,12,14,12,17,14,,20,12,12,,27,13,14,,,,,12,,,,,,,,
2015-04-02,57,23,31,,,,19,13,15,15,16,14,,14,13,12,,33,16,14,,,,,,12,,,,,,,
2015-04-03,58,,15,,,,15,,16,,16,13,,14,13,9,,34,15,14,,11,10,9,9,,,,,,,,
2015-04-04,58,24,31,,23,,19,14,17,14,16,15,,14,,13,13,39,17,14,,,,,,,,,,,,,
2015-04-05,58,25,30,,23,,19,14,17,17,15,15,,14,,13,13,36,25,14,,,,,,,,,,,,,
2015-04-06,58,22,30,,23,,19,14,16,17,15,15,,14,,13,13,36,24,14,,,,,,,,,,,,,
2015-04-07,58,28,30,,21,16,19,,17,17,18,14,,14,,13,13,40,25,14,,,,,,,,,,,,,
2015-04-08,58,30,30,,21,20,19,14,17,17,15,14,,,,14,,39,21,14,14,,,,,,,,,,,,
2015-04-09,58,32,30,,21,27,19,14,15,17,15,14,,,,14,15,42,16,14,,,,,,,,,,,,,
2015-04-10,56,32,30,,21,27,19,13,15,17,15,14,,,,13,13,42,16,14,,,,,,,,,,,,,
2015-04-11,56,42,31,29,22,21,19,15,15,15,15,14,14,,13,13,13,,,,,,,,,,,,,,,,
2015-04-12,56,42,31,29,22,21,19,15,15,15,14,14,14,,13,13,13,,,,,,,,,,,,,,,,
2015-04-13,57,42,31,29,22,21,19,16,15,15,14,14,14,13,13,13,,,,,,,,,,,,,,,,,
