date,"Office for National Statistics","Perform Group",Hays,Sky,"Goldman Sachs","Expedia, Inc.",Facebook,"Nationwide Building Society","Bloomberg LP","RTI International",UCAS,"Capgemini Consulting","Direct Line Group",G4S,"See More","Avis Budget Group EMEA",Atkins,"J.P. Morgan","Rank Group",GSK,Sainsbury&#39;s,"Do-it Trust",Nielsen,Capita,EY,"NHS National Services Scotland","Randstad UK","Confidential Company - Undisclosed",Amazon,"Amazon UK",Deloitte,"Huxley Banking &amp; Financial Services","QA Apprenticeships","Triumph Consultants","Royal Bank of Scotland",HSBC,PAREXEL,"Language Recruitment Services Limited - LRSUK.com","Experis IT","Lloyds Banking Group",IBM,"Optimus Search","Morgan Stanley",PERFORM,Foosle.com,"Moody&#39;s Corporation","Johnson &amp; Johnson","NonStop Pharma","Chico&#39;s FAS, Inc.","Pro-Quest Resourcing Ltd","Churchill Frank International",Tempero,"Xpat Jobs.com","CV-Library Ltd",CareerBuilder.com,Adzuna,"Job Board Enterprises BV","Paramount Recruitment Pty Limited","1st CENTRAL","Williams &amp; Glyn","JPMorgan Chase &amp; Co.",StaffNurse.com,"2M Employment Solutions Limited",Phastar,RMS,"Language Recruitment Services Limited","Northgate Information Solutions","NGA Human Resources",AstraZeneca,ADP,"Staffworx Ltd","Bluetownonline Ltd."
2015-03-11,,,31,15,,,,,14,,,,,,14,,,,,,,40,,,22,69,,,,39,,,15,,22,,83,,,,15,,,14,,15,,,,,18,,,,,,,,,,20,,,,,,,,,,,
2015-03-12,,,,,,,,,10,,11,,,,6,,,,,,,14,,,12,,,,,22,10,,13,,,,66,,,,,,,14,,12,,12,,,,,,,,,,,,,,9,,11,,6,,,,,,8
2015-03-16,,,25,17,,,,,,,,,,,17,,,,,,,35,,,24,65,,,,43,29,,,,34,,26,,18,,22,,,,,,19,,,,,,,,,,,,,,22,17,,,,,,,18,,,
2015-03-18,,,24,16,,,,,,,,,,,16,,,,,16,,36,,,24,64,,,,43,30,,,,29,,25,,,,22,,,,,,18,,,,,,,,,,,,,,21,17,,,,,,,19,,,
2015-03-18,,,24,,,,,,,,,,,,16,,,,,16,,39,,,24,64,,,,43,30,,,,29,,23,,,,22,,,,,,18,,,,,,,,,,,,,,21,17,,,,,,,20,,19,
2015-03-19,,,21,18,,,,,,,,,,,17,,,,,,,36,,,24,63,,,,43,30,,17,,34,,24,,,,22,,,,,,18,,,,,,,,,,,,,,20,17,,,,,,,18,,,
2015-03-20,,,,12,,,,,9,,,,,,7,,,,,,,27,,,11,,,,,26,10,,15,,,,,,,,,,,15,,13,8,,,,,,,,,,,,,,,12,7,12,,,,,9,7,,
2015-03-21,,,18,17,,,,,,,,,,,17,,,,,,,37,,,24,63,,,,41,30,,17,,35,,27,,,,22,,,,,,18,,,,,,,,,,,,,,20,17,,,,,,,18,,,
2015-03-22,,,18,17,,,,,,,,,,,17,,,,,,,36,,,24,63,,,,40,30,,17,,35,,27,,,,22,,,,,,18,,,,,,,,,,,,,,20,17,,,,,,,18,,,
2015-03-23,,,18,17,,,,,,,,,,,17,,,,,,,34,,,23,63,,,,38,31,,17,,36,,23,,,,22,,,,,,18,,,,,,,,,,,,,,20,17,,,,,,,18,,,
2015-03-24,,,17,18,,,,,,,,,,,17,,,,,,,36,,,23,63,,,,38,31,,19,,22,,23,,,,22,,,,,,,,,,,,,,,,,,,,23,20,,,,28,,18,,,,
2015-03-25,,,19,18,,,,,,,,,,,17,,,,,,,33,,,23,59,,,,42,30,,19,,30,,22,,,,24,,,,,,,,,,,,,,,,,,,,23,20,,,,28,,17,,,,
2015-03-26,,,23,20,,,,,,,,,,,16,,,,,,,34,,,23,60,,,,42,30,,20,,29,,25,,,,24,,,,,,16,,,,,,,,,,,,,,22,,,,,,17,16,,,,
2015-03-27,,,17,20,,,,,,,,,,,16,,,,,,,34,,,23,60,,,,42,30,,20,,33,,26,,,21,24,,,,,,16,,,,,,,,,,,,,,22,,,,,23,,,,,,
2015-03-28,,,16,20,,,,,,,,,,,16,,,,,,,34,,,23,76,,,,41,30,,20,,30,,25,,,21,24,,,,,,16,,,,,,,,,,,,,,22,,,,,22,,,,,,
2015-03-29,,,9,12,,,,,8,,,,,,6,,,,,,,24,,,11,,,,,26,,,18,,,,,,,,,,,15,,11,,14,,,,,,,,,,,,,11,10,6,9,6,,,,,,,
2015-03-30,,,,20,,,,,,,,,,,16,,,,,,,35,,,23,76,,,,43,30,,20,,31,,23,,,21,24,,,,,,16,,,,,,,,,,,,,,22,17,,,,24,,,,,,
2015-03-31,,,9,14,,,,,8,,,,,,6,,,,,,,25,,,11,,,,,27,,,18,,,,,,,,,,,15,,14,,14,,,,,,,,,,,,,11,10,9,9,6,,,,,,,
2015-04-01,,,17,19,,,,,,,,,,,17,,,,,18,,37,,,24,77,,,,43,30,,20,,34,,28,,,23,23,,,,,,,22,,,,,,,,32,,,,,,,,,,,,,,,,
2015-04-02,,,,18,,,,,,,,,,,17,,,,,17,,38,,,24,79,,,,41,29,,20,,29,,28,26,,24,25,,,,,18,,,,,,,,,,37,,,,,,,,,,,,,,,,
2015-04-03,,,20,18,,,,,,,,,,,18,,,,,18,,36,,,25,82,,,,41,29,,20,,30,,26,29,,24,25,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,
2015-04-04,,,20,18,,,,,,,,,,,18,,,,,19,,36,,,25,59,,,,41,29,,20,,30,,26,,,22,25,,,,,18,,,,,,,,,,39,,,,,,,,,,,,,,,,
2015-04-05,,,20,18,,,,,,,,,,,18,,,,,19,,36,,,25,49,,,,38,29,,20,,30,,26,29,,21,25,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,
