date,"Amazon UK",Amazon,IBM,Google,VMware,Apple,"See More",AIB,EMC,PAREXEL
2015-05-28,20,16,7,11,6,,,,,
2015-05-29,20,15,7,8,6,,,,,
2015-05-30,21,15,7,8,6,,,,,
2015-05-31,21,15,7,8,6,,,,,
2015-06-01,20,15,7,10,6,,,,,
2015-06-02,20,15,7,9,6,,,,,
2015-06-03,21,15,7,9,6,,,,,
2015-06-04,20,15,7,9,6,,,,,
2015-06-05,20,15,7,8,5,,,,,
2015-06-06,21,15,7,8,5,,5,,,5
2015-06-07,20,15,7,8,5,,5,,,5
2015-06-08,20,15,7,9,5,,5,,,5
2015-06-09,21,16,7,9,5,,5,,5,
2015-06-10,22,16,7,9,5,5,5,,5,
2015-06-11,22,16,7,9,,,,,5,
2015-06-12,18,16,7,9,,,,,5,
2015-06-13,18,16,7,9,,,,,5,
2015-06-14,17,16,7,9,,,,,5,
2015-06-15,19,16,7,9,,,,5,,
2015-06-16,19,16,7,8,,,,5,,
2015-06-17,19,16,8,8,5,,,,,
2015-06-18,19,16,8,8,5,5,5,,,
