date,Booking.com,OrangeValley,EY,"ING Nederland"
2015-05-28,9,,,
2015-05-28,9,,,
2015-05-29,10,,,5
2015-05-30,10,,,5
2015-05-31,10,,,5
2015-06-01,10,,,
2015-06-02,10,,,
2015-06-03,10,,,5
2015-06-04,10,,,5
2015-06-05,10,,,5
2015-06-06,10,,,5
2015-06-07,10,,,5
2015-06-08,10,,,5
2015-06-09,9,,,5
2015-06-10,9,,,5
2015-06-11,9,,5,5
2015-06-12,9,,5,5
2015-06-13,9,,5,5
2015-06-14,9,,5,5
2015-06-15,9,,5,5
2015-06-16,9,,5,5
2015-06-17,9,,5,5
2015-06-18,7,,5,5
2015-06-19,7,,5,6
2015-06-20,7,,5,6
2015-06-21,7,,5,6
2015-06-22,7,,5,6
2015-06-23,7,,5,5
2015-06-24,7,,5,5
2015-06-25,7,,5,
2015-06-26,7,6,,
