date,"IT People Innovation","Ministrum Ltd.","Instituto Superior de Agronomia","NOESIS Portugal"
2015-05-28,5,,,
2015-05-29,6,,,
2015-05-30,6,,,
2015-05-31,6,,,
2015-06-01,6,,,
2015-06-02,92,,,
2015-06-03,92,,,
2015-06-04,97,,,
2015-06-05,142,8,6,8
2015-06-06,141,5,6,8
2015-06-07,141,6,6,8
2015-06-08,142,6,6,8
2015-06-09,110,6,6,8
2015-06-10,77,6,6,6
2015-06-11,74,6,6,
2015-06-12,144,6,6,7
2015-06-13,142,6,6,8
2015-06-14,147,6,7,7
2015-06-15,144,6,7,7
2015-06-16,147,,6,7
2015-06-17,159,7,6,7
2015-06-18,156,7,6,8
2015-06-19,150,7,6,9
2015-06-20,145,7,6,9
2015-06-21,147,7,6,8
2015-06-22,133,7,6,6
