date,"Álgebra lineal",Cálculo,Matemáticas,Estadística,Probabilidad,RStudio,"Análisis de datos","Análisis de los datos"
2015-05-28,0,63,140,52,6,0,50,6
2015-05-29,0,67,152,54,5,0,51,6
2015-05-30,0,57,142,42,5,0,39,7
2015-05-31,0,65,152,51,5,0,44,5
2015-06-01,0,56,140,42,5,0,49,8
2015-06-02,0,58,143,42,5,0,49,7
2015-06-03,0,60,143,42,4,0,50,6
2015-06-04,0,69,93,52,3,0,61,7
2015-06-05,0,69,153,64,3,0,64,5
2015-06-06,0,81,156,65,3,0,66,6
2015-06-07,0,74,167,63,3,0,54,4
2015-06-08,0,69,155,64,3,0,71,4
2015-06-09,0,70,105,64,4,0,58,4
2015-06-10,0,75,114,60,4,0,64,4
2015-06-11,0,64,115,61,4,0,56,5
2015-06-12,0,68,166,66,5,0,57,5
2015-06-13,0,65,159,63,5,0,65,4
2015-06-14,0,68,115,64,4,0,68,5
2015-06-15,0,78,117,65,4,0,63,6
2015-06-16,0,73,105,68,5,0,65,4
2015-06-17,0,68,104,66,4,0,63,4
2015-06-18,0,66,106,68,4,0,70,6
2015-06-19,0,76,163,68,4,0,62,7
2015-06-20,0,74,160,68,4,0,60,7
2015-06-21,0,66,103,66,5,0,63,6
2015-06-22,0,63,140,67,5,0,64,6
2015-06-23,0,68,119,72,4,0,61,4
2015-06-24,0,73,116,70,5,0,59,3
2015-06-25,0,77,127,63,5,0,61,3
2015-06-26,0,82,89,60,5,0,56,2
2015-06-27,0,96,108,58,5,0,54,2
2015-06-28,0,83,101,60,5,0,52,2
2015-06-29,0,96,138,59,4,0,52,3
2015-06-30,0,89,144,67,4,0,51,3
2015-07-01,0,96,133,62,5,0,52,3
2015-07-02,0,92,99,61,5,0,53,4
2015-07-03,0,90,102,63,5,0,50,5
2015-07-04,0,90,109,63,4,0,45,5
2015-07-05,0,90,107,62,7,0,45,6
2015-07-06,0,89,110,0,0,0,0,6
2015-07-07,0,93,114,68,9,0,48,6
2015-07-08,0,107,127,78,10,0,50,6
2015-07-09,0,96,110,66,10,0,52,6
2015-07-10,0,95,112,64,10,0,50,7
2015-07-11,0,103,130,72,10,0,52,7
2015-07-12,0,106,129,74,10,0,56,7
2015-07-13,0,106,110,70,12,0,58,7
2015-07-14,0,107,110,67,12,0,58,6
2015-07-15,0,104,110,65,13,0,59,6
2015-07-16,0,109,112,68,13,0,61,8
2015-07-17,0,106,114,69,13,0,58,8
2015-07-18,0,100,115,69,13,0,58,6
2015-07-19,0,99,113,67,13,0,58,6
2015-07-20,0,100,111,66,14,0,62,6
2015-07-21,0,110,113,67,18,0,65,6
2015-07-22,0,107,108,63,18,0,66,5
2015-07-23,0,110,109,63,13,0,65,5
2015-07-24,0,0,0,0,0,0,0,0
2015-07-25,0,0,0,0,0,0,0,0
2015-07-26,0,0,0,0,0,0,0,0
