date,"Algèbre linéaire",Calcul,Mathématiques,Statistiques,Probabilité,Rstudio,"L&#39;analyse des données"
2015-05-27,0,439,272,416,7,0,0
2015-05-27,0,438,275,423,6,0,0
2015-05-28,0,437,305,420,6,0,0
2015-05-28,0,435,305,426,7,0,0
2015-05-29,0,429,398,410,7,0,0
2015-05-30,0,410,1013,393,6,0,0
2015-05-31,0,409,965,398,6,0,0
2015-06-01,0,377,806,377,6,0,0
2015-06-02,0,380,809,388,6,0,0
2015-06-03,0,408,436,403,6,0,0
2015-06-04,0,433,444,394,5,0,0
2015-06-05,0,393,271,375,5,0,0
2015-06-06,0,410,250,358,6,0,0
