date,Munich,Stuttgart,"Frankfurt Am Main",Cologne,Hamburg,Berlin,Hannover,Nürnberg,Bielefeld,Mannheim,Leipzig,Bremen,Dresden,Freiburg,"See More",Regensburg,Saarbrücken,Erfurt,Konstanz,Braunschweig
2015-05-27,281,178,193,228,103,63,37,48,41,33,23,,24,20,17,,,,,17
2015-05-27,269,197,193,227,100,63,37,43,41,33,22,17,22,19,17,,,,,
2015-05-28,271,196,192,225,100,61,37,43,40,33,21,17,22,19,17,,,,,
2015-05-28,269,196,190,227,106,63,38,43,40,33,21,17,22,19,17,,,,,
2015-05-29,285,215,197,228,111,70,41,48,37,34,24,,22,19,19,,,,,21
2015-05-30,289,218,197,223,104,68,43,49,37,32,23,,23,19,18,,,,,18
2015-05-31,298,215,192,224,106,66,44,50,37,31,,18,19,19,18,,,,,18
2015-06-01,309,212,191,216,112,65,45,46,36,31,,19,19,19,19,,,,,19
2015-06-02,305,210,192,199,114,67,46,46,34,31,,19,19,19,18,,,,,18
2015-06-03,310,234,197,201,116,70,43,51,34,33,26,21,19,,19,,,,,19
2015-06-04,309,247,224,187,122,74,41,49,40,29,26,22,20,22,20,,,,,
2015-06-05,300,236,195,196,123,75,44,48,,,29,,,,6,,,8,6,
2015-06-06,302,249,221,184,125,72,41,50,39,34,30,23,20,22,20,,,,,
2015-06-07,310,240,218,180,117,73,40,51,39,33,30,23,20,,20,,,,,20
2015-06-08,306,231,215,182,112,75,39,51,39,35,29,23,20,20,20,,,,,
2015-06-09,306,236,216,190,109,76,46,50,34,37,27,24,20,20,20,,,,,
2015-06-10,296,234,219,191,109,75,45,52,33,36,27,24,20,,20,,,,,20
2015-06-11,318,260,228,222,129,106,49,52,,,28,,,,7,18,16,12,7,
2015-06-12,339,262,232,228,139,107,52,54,,,29,,,,7,19,16,12,7,
2015-06-13,327,256,223,196,125,102,48,51,36,37,28,26,,21,20,,,,,20
2015-06-14,333,245,211,220,127,106,53,47,,,28,,,,6,18,16,10,6,
2015-06-15,334,253,197,204,126,96,48,47,34,36,27,27,,22,19,,,,,19
2015-06-16,358,257,213,225,130,92,,46,,,28,,,,6,19,16,11,6,
2015-06-17,354,255,197,207,124,87,47,45,36,35,30,30,23,21,21,,,,,
2015-06-18,344,253,195,191,129,88,45,45,36,34,28,30,23,21,21,,,,,
2015-06-19,355,251,196,194,126,88,51,44,35,36,27,29,24,21,21,,,,,
2015-06-20,371,252,205,206,128,95,,43,,,25,,,,5,,16,9,5,
2015-06-21,362,259,194,194,128,87,55,44,35,35,30,29,24,21,21,,,,,
2015-06-22,373,259,212,204,129,97,,43,,,27,,,,5,,15,10,5,
2015-06-23,349,256,212,198,118,100,,44,,,26,,,,5,,14,10,5,
2015-06-24,324,243,198,152,100,81,48,40,29,32,26,27,20,,20,20,,,,
2015-06-25,323,228,207,176,107,86,,41,,,26,,,,9,20,13,9,,
2015-06-26,326,234,209,180,103,86,,41,,,26,,,,10,20,13,10,,
2015-06-27,322,236,193,169,102,80,55,39,39,36,28,26,20,,20,20,,,,
2015-06-28,321,242,206,183,104,85,,39,,,28,,,,8,20,14,8,,
2015-06-29,318,237,197,173,101,85,53,41,37,36,30,27,23,19,19,,,,,
2015-06-30,333,257,207,181,99,84,56,46,37,37,32,31,24,22,22,,,,,
