date,Munich,Berlin,Cologne,"Frankfurt Am Main",Hamburg,Stuttgart,Nürnberg,Leipzig,Karlsruhe,Erfurt,Dresden,Bonn,Augsburg,Essen,"See More",Hannover,Freiburg,Regensburg,Rostock,Konstanz,Mannheim,Kassel
2015-05-27,180,117,98,97,65,44,12,10,12,8,10,,,,5,6,,,,,8,5
2015-05-27,173,115,97,98,65,47,12,9,12,8,8,,,,5,6,,,,,8,5
2015-05-28,175,117,95,93,72,46,12,11,12,8,8,,,,5,5,,,,,7,5
2015-05-28,175,119,95,91,73,46,12,11,12,8,8,,,,5,6,,,,,7,5
2015-05-29,189,117,79,102,73,52,12,11,12,8,8,,,,5,9,,,,,8,5
2015-05-30,184,115,80,105,70,50,11,11,12,8,8,,,,5,9,,,,,8,5
2015-05-31,190,112,83,102,71,50,12,,12,8,7,,,,5,8,,,,,8,5
2015-06-01,191,112,82,103,76,48,11,,11,8,7,,,,5,9,,,,,7,5
2015-06-02,189,114,85,100,71,50,10,,11,8,6,,,,5,6,,,,,7,5
2015-06-03,192,119,92,94,75,53,15,9,11,8,6,,,,5,5,,,,,7,5
2015-06-04,183,122,91,104,66,53,17,14,10,8,,6,,,5,8,,,,5,7,
2015-06-05,166,122,91,103,63,51,28,14,12,8,,6,,,5,9,,,,5,7,
2015-06-06,167,123,89,104,68,55,28,13,12,8,,6,,,5,8,,,,5,6,
2015-06-07,166,127,88,101,72,56,28,15,12,8,,6,,,5,7,,,,5,5,
2015-06-08,164,128,88,102,65,50,28,16,10,8,5,6,,,5,8,,,6,,,
2015-06-09,174,129,94,114,85,57,28,16,10,8,5,7,,,5,8,5,,,,,
2015-06-10,62,17,50,57,,39,,,,,,,,,,,,,,,,
2015-06-11,72,21,53,55,,43,,,,,,,,,,,,,,,,
2015-06-12,166,140,101,117,92,62,28,17,11,8,7,7,,,6,9,,6,,,,
2015-06-13,66,23,55,51,,45,,,,,,,,,,,,,,,,
2015-06-14,165,142,105,111,88,61,26,19,13,8,6,7,,,5,7,5,,,,,
2015-06-15,73,22,56,52,,45,,,,,,,,,,,,,,,,
2015-06-16,189,133,104,105,84,63,27,19,13,8,6,7,,5,5,6,,,,,,
2015-06-17,75,18,52,46,,44,,,,,,,,,,,,,,,,
2015-06-18,73,20,48,45,,43,,,,,,,,,,,,,,,,
2015-06-19,176,129,96,98,64,60,25,18,13,8,7,6,5,5,5,,,,,,,
2015-06-20,75,19,47,47,,42,,,,,,,,,,,,,,,,
2015-06-21,175,127,98,95,63,56,26,16,14,8,7,6,5,5,5,,,,,,,
