date,Stuttgart,Berlin,Cologne,Munich,Hamburg,"Frankfurt Am Main",Erfurt,"See More"
2015-06-03,10,10,10,7,9,6,5,5
2015-06-04,6,,7,,7,,,
2015-06-07,8,6,7,,7,5,,
2015-06-16,7,5,5,6,,,,
2015-06-19,8,6,7,5,6,,,
2015-06-20,8,6,7,5,6,,,
2015-06-24,11,7,8,7,6,,,
2015-06-25,7,,5,,5,,,
2015-06-27,7,,,5,5,,,
2015-06-28,7,,,5,5,,,
2015-06-29,9,,6,7,5,,,
2015-06-30,10,5,7,8,6,,,
2015-07-01,5,,,,,,,
2015-07-02,9,6,6,8,7,,,
2015-07-03,11,7,6,8,7,,,
2015-07-04,11,7,6,8,7,,,
2015-07-05,11,7,6,8,7,,,
2015-07-06,11,8,7,9,8,,,
2015-07-07,11,8,7,9,8,,,
2015-07-08,8,5,7,8,8,,,
2015-07-09,12,8,8,11,10,,,
2015-07-10,12,8,9,11,10,,,
2015-07-11,6,5,5,7,6,,,
2015-07-12,6,5,5,7,6,,,
2015-07-13,6,5,5,7,6,,,
2015-07-14,7,5,6,8,6,,,
2015-07-15,9,5,6,8,6,,,
2015-07-16,11,7,6,10,8,,,
2015-07-17,11,8,7,10,8,,,
2015-07-18,11,8,7,9,8,,,
2015-07-19,11,8,7,8,8,,,
2015-07-20,11,8,7,8,8,,,
2015-07-21,11,8,8,8,7,,,
2015-07-22,7,,,,,,,
