date,Paris,Lyon,Marseille,Bordeaux,Lille,Nice,Nantes,"See More",Toulouse,Grenoble,Rouen,Dijon,Reims,Strasbourg,"La Rochelle",Orléans,Limoges
2015-05-27,251,18,7,7,7,,11,5,9,5,14,12,,6,8,,5
2015-05-27,257,19,7,7,7,,11,5,9,5,14,12,,6,8,5,5
2015-05-28,258,19,6,7,8,,10,5,9,,13,11,,,9,7,5
2015-05-28,261,19,8,7,8,,9,5,9,,14,12,,,9,7,5
2015-05-29,253,17,8,6,8,,7,5,10,,15,11,,5,9,5,5
2015-05-30,229,23,8,6,8,,7,5,12,5,10,11,,5,7,6,
2015-05-31,230,22,9,7,10,,6,5,11,5,12,12,,6,8,6,
2015-06-01,225,20,9,6,8,,6,5,9,5,11,13,,,5,6,
2015-06-02,231,19,9,6,8,,7,5,9,5,12,14,,,,7,
2015-06-03,231,20,11,7,9,6,5,5,13,5,14,14,,,6,6,
2015-06-04,225,17,11,7,10,6,,6,,,,,,,,,
2015-06-05,225,20,8,6,7,5,,5,9,5,10,11,,,5,5,
2015-06-06,217,16,7,,8,5,,,,,,,,,,,
2015-06-07,235,20,7,,8,5,5,5,8,5,9,9,,5,,,
2015-06-08,237,21,8,,5,,6,5,8,6,8,10,5,5,,,
2015-06-09,234,21,10,5,,,5,5,9,5,7,10,,,,,
2015-06-10,217,15,10,6,,,,,,,,,,,,,
2015-06-11,215,17,9,6,,,,6,10,7,7,,,,,,
2015-06-12,225,17,10,6,,,,6,9,7,6,,,,,,
2015-06-13,222,21,10,6,5,,6,5,9,6,6,,,,,,
2015-06-14,216,18,12,6,5,5,,5,,,,,,,,,
2015-06-15,222,18,13,6,6,6,5,5,,,,,,,,,
