date,London,Cambridge,Manchester,Glasgow,Birmingham,Reading,"Kingston upon Thames",Bristol,Guildford,Nottingham,Coventry,Twickenham,Southampton,Brighton,"See More",Edinburgh,"St Albans",Slough,"Hemel Hempstead",Oxford,Northampton,Portsmouth,Redhill,Gloucester,"Milton Keynes",Peterborough,Stevenage,Leeds,Chelmsford,Derby,Stoke-on-Trent,Swindon
2015-03-11,506,57,34,19,28,30,18,24,21,,,18,,,14,16,,24,,14,,,,,,,,15,,,,
2015-03-12,549,60,34,17,29,32,18,28,21,,,17,,,14,16,,22,,15,,,,,,,,14,,,,
2015-03-16,553,56,38,21,30,36,18,27,33,,,19,,,15,15,,23,,,,18,,,,,,,,,,17
2015-03-18,562,55,38,21,31,37,18,31,36,,,19,,,18,28,,22,,,,18,,,,,20,,,,,
2015-03-18,553,55,38,21,30,37,18,33,35,,,20,,,18,29,,22,,,,18,,,,,20,,,,,
2015-03-19,550,55,37,20,29,36,19,26,35,,,20,,,18,28,,21,,,,18,,,,,19,,,,,
2015-03-20,550,61,34,19,29,38,23,29,33,,,24,,,18,29,,21,,,,18,,,,,21,,,,,
2015-03-21,549,61,31,20,29,38,23,28,33,,,22,,,18,29,,21,,,,18,,,,,21,,,,,
2015-03-22,546,60,31,20,28,38,23,28,32,,,22,,,18,29,,21,,,,18,,,,,21,,,,,
2015-03-23,537,53,25,21,28,38,20,27,27,,,24,,,16,29,,20,16,,,,,,,,27,,,,,
2015-03-24,530,52,28,20,27,36,20,29,28,,,24,,,18,27,,21,18,,,,,,,,24,,,,,
2015-03-25,531,54,31,20,26,35,23,27,24,,,22,,,18,24,,19,,,,,,,,,24,,,,,18
2015-03-26,522,53,31,20,26,37,23,25,24,,,21,,,17,21,,17,17,,,,,,,,21,,,,,
2015-03-27,541,47,30,20,25,36,21,27,26,,,22,,,17,21,,,17,,,,,,17,,19,,,,,
2015-03-28,523,49,29,18,27,37,22,27,25,,,21,,,16,19,,,16,,,,,,,,18,,,,,16
2015-03-29,524,49,31,18,28,37,21,29,33,,,20,,,16,19,,,16,,,,,,,,17,,,,,16
2015-03-30,521,44,29,18,25,36,21,25,24,,,20,,,16,19,,,16,,,,,,,,17,,,,,17
2015-03-31,540,45,31,19,29,35,21,26,24,,,19,,,17,20,,,21,,,,,,,,18,,,,,17
2015-04-01,533,45,30,16,29,36,20,28,26,,19,19,,,16,17,,,20,,,,,,,,20,,,,,
2015-04-02,545,44,27,15,29,31,19,24,26,,19,20,,,15,18,,,18,,,,,,,,21,,,,,
2015-04-03,548,43,29,17,30,31,19,23,26,,23,20,,,17,,,,21,,,,,,18,,21,,,,,
2015-04-04,512,40,25,16,28,29,18,22,23,,22,19,,,16,,,,18,,,,,,18,,19,,,,,
2015-04-05,547,43,24,17,29,31,18,21,28,,23,20,,,17,,,,19,,,,,,18,,20,,,,,
2015-04-06,545,43,27,17,29,28,17,19,27,,25,19,,,17,,,,18,,,,,,18,,19,,,,,
2015-04-07,553,45,27,17,31,32,19,21,33,,26,19,,,17,,,,,18,,,,,21,,21,,,,,
2015-04-08,556,46,27,18,36,32,22,22,34,27,27,,,,18,,,,,,18,,,,29,,25,,,,,
2015-04-09,529,51,24,,34,32,22,22,34,25,25,,,,18,,,,,18,,,18,,30,,22,,,,,
2015-04-10,531,48,23,18,37,34,21,22,34,25,27,,,,18,,,,,20,,,,,30,,22,,,,,
2015-04-11,549,48,25,,33,32,21,23,42,26,23,,,,19,,,,,,19,,20,,29,,24,,,,,
2015-04-12,545,47,25,,33,30,21,23,41,26,23,,,,19,,,,,,19,,20,,28,,24,,,,,
2015-04-13,554,46,25,,32,33,24,24,40,25,23,,,,19,,,,,,19,,20,,27,,25,,,,,
2015-04-14,552,47,25,,27,35,27,30,39,24,26,,,,24,,,,,,26,,28,,34,,27,,,,,
2015-04-15,564,48,24,,31,34,26,25,37,24,28,,,,24,,,,,,29,,31,,34,,30,,,,,
2015-04-16,578,43,27,,34,33,25,28,35,25,26,,,,25,,,,,,28,,27,,33,,29,,,,,
2015-04-17,601,46,28,,35,34,25,29,36,26,28,,,,25,,,,,,27,,27,,33,,30,,,,,
2015-04-18,795,56,44,,45,55,32,44,52,32,44,,,,32,,,,,36,,,41,,38,,40,,,,,
2015-04-19,891,58,55,,51,57,,53,61,45,58,,,,41,,,,,44,,,53,,41,,45,43,,,,
2015-04-20,883,58,53,,48,59,,50,60,47,57,,,,40,,,,,44,,,52,,40,,43,41,,,,
2015-04-21,601,42,26,,34,30,26,29,37,25,21,,,,21,,,,,21,,,30,,21,,29,,,,,
2015-04-22,596,41,30,,34,32,26,29,37,24,20,,,,19,,,,,22,,,26,,19,,33,,,,,
2015-04-23,592,39,29,19,33,36,25,29,41,26,19,,,,19,,,,,22,,,26,,,,31,,,,,
2015-04-24,589,40,29,,31,35,26,29,38,25,20,,,,19,,,,,21,,,26,,19,,29,,,,,
2015-04-25,585,41,31,,30,37,25,28,38,25,19,,,,19,,,,,20,,,26,,23,,29,,,,,
2015-04-26,583,42,30,,31,36,26,29,38,24,18,,,,18,,,,,20,,,28,,24,,29,,,,,
2015-04-27,594,40,29,,32,36,26,25,39,25,,,,,17,,,,,21,,17,29,,24,,29,,,,,
2015-04-28,599,40,28,17,31,36,28,25,40,26,,,,,17,,,,,23,,,32,,22,,22,,,,,
2015-04-29,604,39,27,,28,36,27,26,41,24,,,,,20,21,,,,22,,,32,,20,,22,,,,,
2015-04-30,616,38,25,,30,39,29,26,45,26,,,,,19,19,,,,25,,,40,,20,,23,,,,,
2015-05-01,607,41,24,,29,36,32,28,44,26,,19,,,19,21,,,,25,,,40,,,,22,,,,,
2015-05-02,599,39,23,18,28,37,32,28,42,26,,,,,18,22,,,,26,,,38,,,,22,,,,,
2015-05-03,591,35,22,18,28,38,33,26,42,24,,,,,18,22,,,,25,,,30,,18,,,,,,,
2015-05-04,604,34,21,17,27,37,26,28,37,21,,,,,17,20,,18,,25,,,23,,,,,,,,,
2015-05-05,601,34,30,17,26,38,26,28,36,19,,,,,17,21,,18,,25,,,20,,,,,,,,,
2015-05-06,607,34,29,,27,38,25,26,35,20,17,,,,17,20,,20,,25,,,22,,,,,,,,,
2015-05-07,599,36,30,,25,36,27,28,34,19,,,,,19,22,,19,,25,,,21,,20,,,,,,,
2015-05-08,597,36,30,,26,35,26,30,35,,20,,,,19,21,,,,27,19,,20,,20,,,,,,,
2015-05-09,593,40,33,,27,35,27,30,43,19,,,,,19,22,,,,24,19,,25,,23,,,,,,,
2015-05-10,589,43,33,,25,40,28,31,44,20,,,,,20,21,,,,24,,,26,,23,,,,,,20,
2015-05-11,604,43,34,,26,40,30,33,47,23,,,,,21,21,,,,25,,,29,,23,,,,21,,,
2015-05-12,606,44,32,,26,41,32,34,47,28,,,,,21,24,,,,25,,,34,,22,,,,21,,,
2015-05-13,598,39,33,,28,47,29,33,47,24,,,,,22,24,,,,22,,,32,,23,,,,23,,,
2015-05-14,607,38,31,,31,48,31,30,46,24,,22,,,22,,,,,,,,31,,22,,22,,23,,,
2015-05-15,620,40,32,,32,44,28,24,42,,,21,,,20,,,,,,,,30,,26,,25,,20,20,,
2015-05-16,612,42,32,,32,43,28,24,41,,21,,,,21,,,,,,,,31,,27,,24,,21,21,,
2015-05-17,614,42,31,,38,42,30,25,40,,22,,,,21,,,,,,24,,33,,29,,24,,21,,,
2015-05-18,622,42,30,,37,42,30,22,42,,23,,,,22,,,22,,,26,,31,,27,,24,,,,,
2015-05-19,629,47,32,,36,41,30,22,49,22,22,,,,22,,,,,,25,,38,,31,,28,,,,,
2015-05-20,633,46,35,,28,42,27,23,47,,22,,,,22,,,,23,23,,,30,,27,,24,,,,,
2015-05-21,630,48,32,,27,43,30,26,44,24,,,,,22,22,,,,23,,,31,,29,,25,,,,,
2015-05-22,631,47,30,,26,37,28,28,45,23,27,23,,,23,,,,,25,,,30,,27,,,,,,,
2015-05-23,629,47,30,,26,41,28,30,44,,26,24,,,24,,,,,26,,,31,,28,,24,,,,,
2015-05-24,618,47,32,,27,40,28,28,44,28,25,,,,25,25,,,,31,,,31,,28,,,,,,,
2015-05-25,612,46,32,,27,40,27,29,43,28,25,,,,25,,,,,32,,,29,,27,,26,,,,,
2015-05-26,622,46,33,,27,39,30,30,43,30,28,,,,26,,,,,34,,,35,,26,,28,,,,,
2015-05-27,616,46,32,,29,39,31,29,44,30,28,,,,25,,,,,33,,,35,,25,,28,,,,,
2015-05-27,608,48,32,,28,39,32,28,45,30,28,,,,24,24,,,,33,,,35,,,,28,,,,,
2015-05-28,610,46,33,,24,32,32,29,42,29,26,,,,24,25,,,,27,,,35,,,,28,,,,,
2015-05-29,608,43,28,,22,35,32,25,41,28,25,,,,22,23,,,,25,,,35,,22,,,,,,,
2015-05-30,568,42,21,,25,33,28,20,33,,,18,,,16,16,,18,,25,,,28,,,,,17,,,,
2015-05-31,589,45,19,,28,33,31,21,40,22,,19,,,18,,,18,,25,,,31,,,,20,,,,,
2015-06-01,605,41,20,,28,32,28,22,37,25,,19,,,19,19,,,,22,,,33,,,,23,,,,,
2015-06-02,617,41,21,,28,31,28,22,37,24,,,,,19,19,,19,,21,,,32,,,,22,,,,,
2015-06-03,625,41,22,,29,34,30,24,35,24,,,,,19,20,,19,,22,,,33,,,,22,,,,,
2015-06-04,583,41,21,,29,35,27,21,32,,14,,,8,8,19,,16,,23,,,29,,,,,,,,,
2015-06-05,615,41,21,,29,37,29,23,35,21,,,,,20,20,,28,,23,,,31,,,,24,,,,,
2015-06-06,624,42,20,,30,40,29,28,37,21,,,,,20,21,,30,,22,,,31,,,,22,,,,,
2015-06-07,617,38,20,,25,41,25,24,33,18,,,,,18,21,,29,,24,,,20,,,,19,,,,,
2015-06-08,626,37,17,,24,42,25,23,31,16,,,,,16,20,,29,,22,,,17,,,,16,,,,,
2015-06-09,655,38,16,24,24,40,26,24,32,17,,,,,16,19,,30,,21,16,,,,,,,,,,,
2015-06-10,633,33,18,26,26,42,26,23,27,16,15,14,,,10,19,,,,,,,,,10,,,,,,,
2015-06-11,639,34,20,28,27,38,25,22,24,17,15,,,,11,,,,,,,,,,11,,17,14,,,,
2015-06-12,650,38,20,27,29,38,25,20,27,18,16,,,,13,19,,,,,17,,,,13,,,,,,,
2015-06-13,638,35,20,,26,38,24,19,25,16,16,,,,11,18,,,,,15,,,,13,11,,,,,,
2015-06-14,639,34,19,,25,37,24,19,25,16,15,,,,12,18,,,,,15,,,,13,12,,,,,,
2015-06-15,630,36,19,,26,34,24,19,26,17,16,,,,10,18,,,,,16,,,,10,13,,,,,,
2015-06-16,633,40,23,26,28,34,24,20,27,17,16,,,,11,22,,,,,16,,,,11,,,,,,,
2015-06-17,645,36,26,30,28,31,25,21,30,18,,,,,17,23,,28,,17,19,,,,,,,,,,,
2015-06-18,619,39,22,28,27,32,24,,28,17,13,11,,,5,,,,,16,,,10,5,,,,,,,,
2015-06-19,612,37,24,29,28,37,24,,26,17,14,,,,10,23,,,,15,17,,10,,,,,,,,,
2015-06-20,609,36,28,29,30,37,24,,25,16,13,,,,10,23,,,,15,17,,10,,,,,,,,,
2015-06-21,604,27,29,30,29,36,25,,24,15,,,,,14,22,,18,,16,16,14,,,,,,,,,,
