date,London,Oxford,Reading,Twickenham,Guildford,Birmingham,Slough,Edinburgh,Manchester,Glasgow,Bristol,Cambridge,Sheffield,Nottingham,"See More",Belfast,Leeds,"Kingston upon Thames",Sutton,Brighton,"Milton Keynes",Peterborough,Shrewsbury,Exeter,Torquay,Redhill,Swindon,Carlisle,Norwich,Cardiff,Luton
2015-03-11,382,8,32,14,5,,28,7,8,,,6,,,5,6,5,,,,,,10,,,,5,,,,
2015-03-12,364,,34,12,5,,20,9,7,7,7,7,,,5,7,6,,,,,,9,,,,5,,,,
2015-03-16,477,32,35,16,8,,20,12,8,7,6,8,,,6,7,26,,,,,,,,,,,25,,,
2015-03-18,486,33,36,16,8,,22,12,8,8,,8,,,7,7,29,,,,,,,,,,,24,,8,
2015-03-18,483,33,35,16,8,,22,12,8,8,,9,,,7,7,29,,,,,,,,,,,24,,8,
2015-03-19,491,34,33,16,7,,24,14,8,9,,9,,,7,,28,,,,,,10,,,,,23,,7,
2015-03-20,491,34,32,16,7,,24,14,8,8,,8,,,7,,27,,,,,,10,,,,,23,,7,
2015-03-21,487,34,32,14,7,,24,14,8,9,,8,,,7,,27,,,,,,10,,,,,23,,7,
2015-03-22,484,34,32,14,7,,24,13,8,9,,9,,,7,,27,,,,,,10,,,,,23,,7,
2015-03-23,483,33,35,13,7,,23,11,8,10,,8,,,7,,27,,,,,,10,,,,,21,,7,
2015-03-24,472,34,31,15,7,,23,11,6,12,,9,,,6,,26,,,,,,10,,,,,21,,7,
2015-03-25,469,35,31,15,,,22,13,10,9,,9,,,6,6,26,,,,,,10,,,,,20,,7,
2015-03-26,456,35,31,14,,,21,11,9,7,,9,,,6,6,25,,,,,,10,,,,,18,,7,
2015-03-27,457,35,31,12,,,20,18,9,8,,8,,,6,6,24,,,,,,10,,,,,18,,8,
2015-03-28,450,34,31,12,,,20,18,7,9,,7,,,6,6,25,,,,,,10,,,,,19,,7,
2015-03-29,446,35,31,12,,,20,18,9,9,,7,,,6,6,25,,,,,,10,,,,,19,,7,
2015-03-30,444,35,32,12,,,20,18,9,8,,7,,,5,5,25,,,,,,11,,,,,18,,7,
2015-03-31,419,24,32,11,,5,13,17,11,11,,,,,5,5,20,,,,,,10,,,,5,15,,,
2015-04-01,333,,27,12,,,8,18,10,5,,6,,,5,,,,,,,,10,,,,,,,,5
2015-04-02,452,32,31,15,,,21,17,11,6,,5,,,5,,25,,,,,,11,,,,,18,,6,
2015-04-03,454,30,31,13,,,21,15,10,6,,5,,,5,,24,,,,,,10,,,,,17,,5,
2015-04-04,464,30,31,13,,,21,18,10,5,,6,,,5,,24,,,,,,10,,,,,17,,5,
2015-04-05,460,30,30,13,,,21,17,9,5,,6,,,5,,23,,,,,,10,,,,,18,,5,
2015-04-06,464,30,30,13,,5,21,15,9,6,,5,,,5,,24,,,,,,10,,,,,18,,5,
2015-04-07,468,30,28,14,,5,23,17,9,,,6,,,5,,24,,,,5,,10,,,,,18,,5,
2015-04-08,484,31,30,15,6,,23,15,6,,,13,,,6,7,25,,,,7,,12,,,,,18,,,
2015-04-09,471,31,30,12,6,,23,16,,,,14,,6,6,7,24,,,,7,,12,,,,,19,,,
2015-04-10,467,33,29,12,,5,24,15,,,,13,,6,5,7,25,,,,7,,12,,,,,17,,,
2015-04-11,473,32,29,11,6,,24,14,,,,13,,6,6,7,23,,,,7,,12,,,,,18,,,
2015-04-12,468,31,27,11,6,,24,14,,,,12,,6,6,7,22,,,,7,,12,,,,,18,,,
2015-04-13,472,31,27,9,,7,23,14,,,,12,,,6,7,22,,,,7,,12,,,,,18,,6,
2015-04-14,468,33,26,11,6,7,19,12,,,,25,,,6,6,18,,,,8,,14,,,,,17,,,
2015-04-15,465,34,25,10,7,7,20,10,,,6,25,,,6,,17,,,,6,,14,,,,,18,,,
2015-04-16,468,34,23,10,,7,20,11,,,5,24,,,5,,16,,,,7,,14,,,,,17,6,,
2015-04-17,470,33,22,10,6,7,21,10,,,7,25,,,6,,17,,,,7,,14,,,,,17,,,
2015-04-18,564,33,29,11,,9,23,12,9,,10,24,,,9,,20,,24,,,,13,,,,,29,,,
2015-04-19,618,35,24,,,11,22,15,11,,13,24,,11,11,,23,,26,,,,13,,,,,29,,,
2015-04-20,619,34,26,,,10,21,14,10,,12,25,,10,10,,23,,28,,,,13,,,,,28,,,
2015-04-21,479,32,25,11,,,18,11,,,8,24,,7,7,,17,,21,,8,,13,,,,,23,,,
2015-04-22,456,30,25,10,,,18,9,,,8,22,,,6,,15,,21,,8,,11,,,,,24,,6,
2015-04-23,470,31,24,12,,,19,9,,,8,22,,,7,,15,,20,,8,,11,,,,,24,7,,
2015-04-24,469,31,22,12,,,19,9,,,13,23,,,6,,15,,20,,8,,11,,,,,20,,6,
2015-04-25,468,30,24,12,,,20,9,,,11,24,,,7,,14,,20,,8,,11,,,,,21,,7,
2015-04-26,467,28,23,12,,,20,8,,,11,24,,,7,,14,,20,,8,,11,,,,,21,,7,
2015-04-27,466,29,25,12,,,22,6,,,12,24,,,6,,12,,20,,8,,11,,,,,22,,7,
2015-04-28,477,26,23,11,,,23,,,,11,26,,,7,,12,,21,,9,,11,,,,,23,7,7,
2015-04-29,487,26,22,12,,,23,7,,,11,26,,,7,,14,,21,,9,,12,,,,,23,,7,
2015-04-30,487,30,21,10,,,23,,,,12,24,,,7,,13,,22,,9,,11,,,,,22,8,7,
