date,London,Cambridge,Manchester,Edinburgh,Redhill,Oxford,Reading,Glasgow,Bristol,Liverpool,Swindon,"Kingston upon Thames",Belfast,Northampton,"See More",Slough,Nottingham,Twickenham,Birmingham,Stevenage,Guildford,"Milton Keynes",Coventry,Southampton,Sheffield,Portsmouth,Chelmsford,Leeds,Luton,"Hemel Hempstead",Exeter,Leicester,Enfield,"Newcastle upon Tyne",Gloucester
2015-03-11,439,31,77,41,,18,34,17,17,,,,,,17,24,,,42,,22,,,,23,,,32,,,,,,,20
2015-03-12,444,30,77,45,,18,34,17,17,,,,,,17,23,,,42,,21,,,,22,,,33,,,,,,,20
2015-03-16,464,39,88,45,39,20,34,,19,,,,,,19,25,,,38,,30,,,,22,,,37,,,19,,,,
2015-03-18,479,36,85,44,38,,32,18,19,18,,,,,18,25,,,37,,25,,,,21,,,35,,,,,,,
2015-03-18,474,37,85,43,36,,32,19,20,17,,,,,17,25,,,36,,25,,,,21,,,36,,,,,,,
2015-03-19,484,42,80,46,36,,34,19,21,17,,,,,17,25,,,39,,26,,,,19,,,30,,,,,,,
2015-03-20,484,42,82,48,36,,33,19,22,18,,,,,18,25,,,39,,27,,,,20,,,26,,,,,,,
2015-03-21,483,42,82,47,36,,33,19,22,18,,,,,18,24,,,40,,27,,,,20,,,25,,,,,,,
2015-03-22,480,42,82,47,36,,33,19,22,18,,,,,18,23,,,38,,27,,,,20,,,25,,,,,,,
2015-03-23,487,44,84,49,34,,33,19,23,,,,,,19,26,,,42,20,27,,,,20,,,23,,,,,,,
2015-03-24,485,44,97,47,34,,34,,23,19,,,,,19,25,,,43,21,26,,,,23,,,24,,,,,,,
2015-03-25,490,45,96,50,34,,36,,23,19,,,,,19,26,,,42,21,25,,,,23,,,24,,,,,,,
2015-03-26,480,44,80,46,31,,36,,21,,,,,20,20,25,,,43,21,26,,,,,,,26,,,,21,,,
2015-03-27,488,43,86,46,34,,33,,25,24,,,,21,21,25,,,39,21,27,,,,,,,27,,,,,,,
