date,London,Glasgow,Reading,Cambridge,Birmingham,Edinburgh,Manchester,Slough,Twickenham,Guildford,"Hemel Hempstead",Oxford,Coventry,Leeds,"See More",Bristol,Redhill,Gloucester,Nottingham,Northampton,"Kingston upon Thames",Portsmouth,Liverpool,"Milton Keynes",Southampton,Stevenage,Belfast,Sheffield,Southall
2015-03-11,870,84,60,59,47,54,56,46,45,27,,30,30,33,27,27,,,,,,,,,,,,,
2015-03-12,448,,36,25,17,25,33,25,23,13,,20,,,9,14,,,,,,,,9,,,16,15,
2015-03-16,971,81,63,66,49,62,60,52,51,45,32,30,,32,30,35,,,,,,,,,,,,,
2015-03-18,987,83,63,67,53,58,60,50,52,47,34,,29,33,29,33,,,,,,,,,,,,,
2015-03-18,984,82,62,69,53,59,60,50,51,48,34,,29,33,29,33,,,,,,,,,,,,,
2015-03-19,982,80,60,67,48,62,57,52,50,47,36,,30,31,30,32,,,,,,,,,,,,,
2015-03-20,494,,34,31,17,27,34,26,23,20,19,17,,,10,,,,10,,,,,,,,13,,10
2015-03-21,985,80,65,67,47,62,53,51,48,45,36,30,,36,30,34,,,,,,,,,,,,,
2015-03-22,980,80,65,67,45,62,53,50,48,44,36,,,35,29,34,29,,,,,,,,,,,,
2015-03-23,993,83,65,70,47,61,48,50,49,34,34,29,,35,29,33,,,,,,,,,,,,,
2015-03-24,988,83,59,71,49,56,47,50,49,35,32,29,,36,28,28,,,,,,,,,,,,,
2015-03-25,996,79,61,68,48,59,54,47,45,,33,31,28,40,28,29,,,,,,,,,,,,,
2015-03-26,956,84,55,65,47,60,53,46,46,29,32,32,29,38,29,,,,,,,,,,,,,,
2015-03-27,983,87,53,56,51,70,59,44,48,31,33,31,28,34,28,,,,,,,,,,,,,,
2015-03-28,959,103,51,58,47,64,52,47,47,29,31,31,28,34,28,,,,,,,,,,,,,,
2015-03-29,456,12,25,29,23,23,31,25,23,16,17,17,,,8,8,,,,8,,,,,,,,,
2015-03-30,952,101,58,59,48,62,58,46,46,31,30,28,30,34,28,,,,,,,,,,,,,,
2015-03-31,477,14,29,28,23,26,29,25,21,11,17,18,,,10,,,,,,,,10,,,,,12,
2015-04-01,920,98,59,61,59,69,62,48,44,32,,35,38,33,28,28,,,,,,,,,,,,,
2015-04-02,954,98,54,60,59,69,59,47,47,33,,34,37,30,29,29,,,,,,,,,,,,,
