date,Amsterdam,Eindhoven,"The Hague",Rotterdam,Utrecht,Nijmegen,"See More"
2015-05-28,56,7,6,6,,7,
2015-05-28,57,7,6,6,,5,
2015-05-29,58,7,8,7,,6,
2015-05-30,57,7,8,7,,5,
2015-05-31,50,7,8,7,,5,
2015-06-01,52,7,8,9,,5,
2015-06-02,52,8,9,8,,,
2015-06-03,56,9,10,9,,,
2015-06-04,56,7,9,9,,,
2015-06-05,53,7,9,8,,5,
2015-06-06,53,7,9,8,,5,
2015-06-07,53,6,9,8,,5,
2015-06-08,54,6,10,6,,5,
2015-06-09,53,7,10,5,,5,
2015-06-10,50,7,11,5,,5,
2015-06-11,50,9,11,5,5,5,5
2015-06-12,48,8,11,5,5,,
2015-06-13,48,8,10,5,5,,
2015-06-14,48,8,10,5,5,,
2015-06-15,47,9,10,5,,,
2015-06-16,49,9,10,5,,,
2015-06-17,52,8,10,5,5,,
2015-06-18,49,8,7,5,5,,
2015-06-19,50,9,6,5,6,,
2015-06-20,50,9,5,5,,,
