date,"Sopra Steria Consulting",PwC,Bosch,"Camelot Management Consultants",Microsoft,"BMW Group","Daimler AG",Atos,"Allianz Group","AUDI AG","Deutsche Bahn","See More","ProSiebenSat.1 Media AG",Accenture,"Berner &amp; Mattner Systemtechnik GmbH"
2015-05-27,90,18,11,18,7,8,11,,,7,9,5,8,,5
2015-05-27,88,18,11,18,7,8,10,,,7,9,7,8,,
2015-05-28,88,18,11,18,7,8,10,,,7,9,7,8,,
2015-05-28,91,18,11,18,7,8,10,,,7,9,7,8,,
2015-05-29,91,18,12,15,7,8,11,,,7,9,7,8,,
2015-05-30,91,18,12,15,7,8,11,,,7,9,7,7,,
2015-05-31,92,18,12,15,7,8,11,,,7,9,7,7,,
2015-06-01,,,,,7,,,,,,5,,,,
2015-06-02,94,18,12,19,7,8,11,,,7,5,5,7,5,5
2015-06-03,88,19,12,19,7,6,11,,,5,5,5,7,6,5
2015-06-04,46,19,12,,7,6,12,5,,5,5,5,7,6,
2015-06-05,,19,12,,7,6,13,5,,5,5,5,7,5,
2015-06-06,,19,12,,7,7,13,,5,5,5,5,7,5,
2015-06-07,,19,12,,7,7,11,,5,5,5,5,,,
2015-06-08,,19,12,,7,7,10,,5,5,5,5,,,
2015-06-09,82,19,12,10,7,7,6,5,5,5,5,5,,,
