date,"BNP Paribas","Dassault Systèmes","Confidential Company - Undisclosed",Amazon,"Schneider Electric",Atos,Apple,"Alstom Group",Oracle,Marsh,Criteo,"See More",Thales,Anaplan,"Crédit Agricole",Danone
2015-05-27,15,16,16,10,,,13,6,,6,,5,5,5,8,5
2015-05-27,15,17,16,10,,,13,6,,6,,5,5,5,8,5
2015-05-28,15,15,13,10,,,14,6,,6,,5,6,5,8,5
2015-05-28,15,15,13,10,,,14,6,,6,,5,6,5,9,5
2015-05-29,15,15,15,10,,,13,5,,6,,5,6,5,9,
2015-05-30,15,15,14,10,,,13,,,6,,5,6,5,,
2015-05-31,13,15,15,10,,,13,,,9,,5,6,5,,
2015-06-01,,13,,,,,13,,,,,,6,,,
2015-06-02,13,19,10,10,,,7,,5,,,5,,5,,
2015-06-03,13,18,18,12,,,12,5,5,,,5,6,5,,
2015-06-04,14,19,18,12,,7,13,6,5,,,5,5,5,,
2015-06-05,14,19,13,11,,7,13,6,,,,6,,,,
2015-06-06,,16,,,,,13,,,,,,,,,
2015-06-07,15,19,11,11,5,7,13,6,6,,,5,,,,
2015-06-08,14,19,11,11,5,7,13,6,6,,,5,,,,
2015-06-09,14,19,12,11,5,7,13,6,6,,5,5,,,,
2015-06-10,14,16,10,11,5,6,7,6,6,,5,5,,,,
2015-06-11,15,16,10,9,8,6,8,6,6,,5,5,,,,
2015-06-12,15,15,12,11,8,6,13,6,6,,5,5,,,,
2015-06-13,15,14,12,11,8,5,13,7,7,,5,5,,,,
2015-06-14,15,14,13,11,8,,13,7,6,,5,5,,,,
2015-06-15,,11,,,,7,10,,,,5,,,,,
2015-06-16,15,14,11,9,8,7,7,7,6,6,5,5,,,,
