date,"Confidential Company - Undisclosed",Microsoft,"Airbus Group",Deloitte,"Schneider Electric","Tableau Software","Veolia Energy","Société Générale","CA Indosuez Private Banking","BNP Paribas","Allianz Group","Alstom Group","EADS Defence &amp; Security","See More","Alternance Business","Crédit Agricole"
2015-05-27,58,,6,9,9,6,,10,,6,,5,,5,5,20
2015-05-27,58,,6,9,9,6,,10,,6,,5,,5,5,20
2015-05-28,54,,6,9,9,6,7,10,,6,,5,,5,,20
2015-05-28,54,,6,9,9,6,7,10,,6,,5,,5,,20
2015-05-29,64,,5,9,9,6,7,11,,6,,5,,5,,18
2015-05-30,71,,5,9,9,6,6,11,,6,,6,,5,5,
2015-05-31,74,,5,9,9,6,6,11,,6,,6,,5,5,
2015-06-01,58,,5,9,9,6,6,11,,6,,6,,5,5,
2015-06-02,58,,5,9,9,6,6,11,,6,,6,,5,6,
2015-06-03,63,,5,9,8,6,6,10,,6,,6,,5,6,
2015-06-04,63,,5,9,7,6,6,9,,5,6,6,,5,,
2015-06-05,51,,5,9,7,6,5,9,,5,6,6,,5,,
2015-06-06,51,,5,9,7,6,5,8,,5,6,6,,5,5,
2015-06-07,56,,5,9,7,6,5,8,,5,6,6,,5,5,
2015-06-08,56,,5,9,6,6,5,8,,,,6,,5,,
2015-06-09,50,,,9,6,6,5,8,,,,6,,5,5,
2015-06-10,,,,9,,6,,,,,,,,,,
2015-06-11,56,,,9,8,6,5,,,5,,6,,5,7,
2015-06-12,,,,9,,6,,,,,,,,,,
2015-06-13,,,,9,,6,,,,,,,,,,
2015-06-14,,,,9,,6,,,,,,,,,,
2015-06-15,,,,9,,6,,,,,,,,,,
2015-06-16,53,10,6,9,9,6,7,,,,,6,,6,,
2015-06-17,,10,,9,,6,,,,,,,,,,
2015-06-18,,11,,9,,6,,,,,,,,,,
2015-06-19,57,11,8,9,9,6,6,,8,,,5,5,5,7,
2015-06-20,56,11,9,9,9,6,7,6,8,,,5,5,5,7,
2015-06-21,51,11,9,9,9,6,7,6,8,,,5,5,5,5,
2015-06-22,51,11,9,9,9,6,7,7,8,,,5,5,5,5,
2015-06-23,,11,,9,,8,,,,,,,,,,
2015-06-24,,11,,9,,8,,,,,,,,,,
2015-06-25,,11,,9,,8,,,,,,,,,,
2015-06-26,,11,,9,,8,,,,,,,,,,
2015-06-27,70,11,12,9,8,8,8,9,,,5,5,6,5,,
2015-06-28,,11,,9,,8,,,,,,,,,,
2015-06-29,61,11,12,9,8,8,8,8,6,,5,5,6,5,,
2015-06-30,,11,,9,,8,,,,,,,,,,
2015-07-01,66,11,11,9,9,8,8,7,6,5,5,5,5,5,,
