date,"Do-it Trust","Morgan Thomas Recruitment",Travelex,PAREXEL,"Goldman Sachs",Concentrix,JobsInSussex.com,Citi,HSBC,"Amazon UK","Credit Suisse",Amazon,"Edge Hill University","QA Apprenticeships",Apple,"See More","Société Générale",JobsInSurrey.com,"Confidential Company - Undisclosed",Hays,"Carillion PLC (Seconded to Holdfast Training Services Ltd)","LEGO Group",Deloitte,"Morgan Stanley","Chico&#39;s FAS, Inc.",MBDA,ARM,"Bank of America","LGB Direct","Care UK",EY,"Thomson Reuters","Royal Bank of Scotland","QS Recruitment","Xpat Jobs.com",CareerBuilder.com,Adzuna,CVbrowser,"Williams &amp; Glyn","Peer 1 Hosting","Experis IT","Global Nomadic",StaffNurse.com,"Advanced Construction &amp; Engineering Resources","JPMorgan Chase &amp; Co.",IBM,"Fluor Corporation",Acer,"CH2M HILL","ODF Technologies, Inc.","Fulbridge Social Care",Elsevier,Entu
2015-03-11,101,54,,62,,43,,43,,,,,,18,,15,,,,,,18,,,,,22,,,,,,,,,,,,19,,,,,,80,,15,312,,,110,20,15
2015-03-12,113,132,,62,,39,,34,,,,,,18,,13,,,,,,14,13,,,,,,,,,,23,,,,,,19,,,14,,,69,,14,33,,14,,,
2015-03-16,103,131,,63,,46,,40,,,,,,17,,15,19,,,,,20,,,,,19,,,,15,,27,,,,,,26,,,,,,61,,,50,16,,,,
2015-03-18,160,134,,64,,51,,39,,15,,,,17,,15,21,,,,,19,,,,,20,,,,16,,27,,,,,,30,,,,,,65,,,335,,,,,
2015-03-18,171,131,,64,,51,,39,,15,,,,17,,15,21,,,,,19,,,,,20,,,,16,,27,,,,,,30,,,,,,65,,,322,,,,,
2015-03-19,163,131,,64,,52,,43,,17,,,,17,,16,20,,,,,17,,,,,20,,,,16,,28,,,,,,30,,,,,,60,,,322,,,,,
2015-03-20,166,133,,64,,52,,42,,17,,,,17,,14,20,,,,,17,,,,,20,,,,15,,22,,,,,,,,,,,,63,14,,349,,,,,
2015-03-21,166,133,,64,,52,,42,,17,,,,17,,14,20,,,,,17,,,,,20,,,,15,,22,,,,,,,,,,,,63,14,,349,,,,,
2015-03-22,165,133,,64,,52,,42,,17,,,,17,,14,20,,,,,17,,,,,20,,,,15,,22,,,,,,,,,,,,63,14,,349,,,,,
2015-03-23,165,133,,62,,52,,42,,17,,,,17,,15,20,,,16,,17,,,,,21,,,,15,,19,,,,,,,,,,,,64,,,349,,,,,
