date,Apple,Oracle,Dell,IBM,"Computer Futures",Tyco,Citi,"Amazon UK","GLG (Gerson Lehrman Group)",GSK,Amazon,Workday,"Volunteer Ireland",Dropbox,Microsoft,"See More","Sysnet Global Solutions","Wipro Digital",SAP,"Northern Trust Corporation","Bank of America",Mylan,"Novartis Consumer Health",Hays,VCE
2015-05-28,11,,9,16,,11,9,10,,6,8,8,9,6,,5,6,,,,,7,5,,5
2015-05-29,17,,9,16,,11,13,10,,6,8,8,9,6,,5,6,,,,,7,5,5,
2015-05-30,18,,9,16,,11,13,10,,6,8,8,9,6,,5,6,,,,,7,5,5,
2015-05-31,17,,9,15,,11,14,10,,6,8,8,9,6,,5,6,,,,,6,5,5,
2015-06-01,23,,8,15,,11,14,9,,6,7,8,7,6,,5,6,,,,,6,5,5,
2015-06-02,17,18,8,15,,11,14,9,7,6,7,8,7,6,,5,,,,,,6,5,,
2015-06-03,12,18,8,14,,12,14,9,6,6,7,8,7,6,,5,6,,,,,,5,,
2015-06-04,25,16,8,14,,12,14,9,6,5,8,6,7,6,,5,6,,,,,6,,,
2015-06-05,36,16,6,14,,12,14,9,6,5,8,6,7,6,,5,6,,,,,6,,,
2015-06-06,32,16,6,14,,11,14,10,6,6,8,6,7,6,,5,6,,,5,,,,,
2015-06-07,32,16,6,14,,12,14,10,6,6,8,6,7,6,,5,6,,,,,5,,,
2015-06-08,18,16,7,14,,12,13,10,6,6,8,6,7,6,,5,6,,,5,,,,,
2015-06-09,27,16,12,14,,11,11,11,6,6,8,6,7,6,,5,6,,5,,,,,,
2015-06-10,23,15,11,13,,11,11,11,6,7,8,6,7,6,,6,6,,,,,6,,,
2015-06-11,18,15,9,13,,11,11,10,6,6,8,6,7,6,,5,,,5,5,,,,,
2015-06-12,14,14,9,13,,11,12,10,6,6,8,6,7,6,,5,5,,,5,,,,,
2015-06-13,13,14,9,13,,11,12,8,6,6,8,6,7,6,,5,5,,,5,,,,,
2015-06-14,13,14,9,13,,10,12,8,6,6,8,6,7,6,,5,,,5,5,,,,,
2015-06-16,14,14,11,12,,10,13,9,6,6,7,6,7,6,,5,,,5,,5,,,,
2015-06-17,16,14,14,12,,11,12,8,6,7,7,8,7,6,,5,,,5,,5,,,,
2015-06-18,28,15,13,12,,11,11,8,6,7,7,8,7,6,,5,,,5,,5,,,,
2015-06-19,29,16,12,12,,6,11,9,6,7,7,8,7,6,,5,,,5,5,,,,,
2015-06-20,31,15,12,11,,6,11,9,6,7,7,8,7,6,,5,,,5,5,,,,,
2015-06-21,29,15,12,11,,7,11,7,6,7,7,8,7,6,,5,,,5,5,,,,,
2015-06-22,24,17,12,11,,6,11,9,7,7,7,8,7,6,,5,,,5,5,,,,,
2015-06-23,22,19,12,11,,6,11,9,7,6,7,8,7,6,,5,,5,5,,,,,,
2015-06-24,21,18,12,11,,7,11,9,7,6,7,8,7,6,,5,5,5,,,,,,,
2015-06-25,34,17,13,11,,8,9,8,7,6,7,8,7,6,,5,5,5,,,,,,,
2015-06-26,27,16,13,9,,8,10,7,7,7,7,8,7,6,,5,5,5,,,,,,,
2015-06-27,27,16,14,10,,8,9,7,7,7,7,8,7,6,,5,5,5,,,,,,,
2015-06-28,30,15,14,10,,8,9,9,7,7,7,8,7,6,,5,5,5,,,,,,,
2015-06-29,32,16,14,10,,10,9,8,8,7,7,7,7,6,5,5,5,,,,,,,,
2015-06-30,32,16,14,12,12,10,9,9,8,7,7,7,7,6,5,5,,,,,,,,,
