date,Munich,Stuttgart,"Frankfurt Am Main",Hamburg,Cologne,Leipzig,Nürnberg,"See More",Berlin,Hannover,Regensburg,Dresden,Bielefeld,Freiburg
2015-05-27,51,26,25,10,16,,5,5,96,,,,5,5
2015-05-27,49,25,25,10,16,,5,5,93,,,,,5
2015-05-28,49,25,26,10,16,,5,5,93,,,,,5
2015-05-28,49,25,27,10,16,,5,5,97,,,,,5
2015-05-29,45,27,29,10,16,,6,5,97,,,,5,5
2015-05-30,52,27,31,10,16,,6,5,97,5,,,5,
2015-05-31,52,28,31,10,16,,6,5,97,5,,,5,
2015-06-01,60,28,33,12,20,,9,9,103,,,,,
2015-06-02,57,28,31,10,15,,6,5,100,5,,,6,
2015-06-03,54,27,31,11,16,,6,5,95,5,,,6,
2015-06-04,43,28,29,10,17,,6,5,53,5,,,5,
2015-06-05,39,29,27,8,16,,5,5,10,5,,,,
2015-06-06,40,29,26,8,17,,5,5,10,5,,,5,
2015-06-07,38,26,22,7,17,,,5,8,5,,,5,
2015-06-08,38,25,23,7,17,,,5,8,5,,,5,
2015-06-09,48,22,25,9,17,,6,5,86,5,,,5,
2015-06-10,50,21,25,13,21,5,8,5,87,,,,,
2015-06-11,56,25,25,15,19,,6,6,89,6,,,,
2015-06-12,56,22,25,15,20,,5,5,89,6,,,,
2015-06-13,55,22,26,15,21,,5,5,90,6,,,,
2015-06-14,59,22,26,15,21,,5,5,90,6,,,,
2015-06-15,58,21,27,15,23,,7,7,91,,,,,
2015-06-16,61,21,29,15,25,,7,7,92,,,,,
2015-06-17,63,21,28,17,24,,7,7,91,,,,,
2015-06-18,57,20,27,16,24,5,7,5,27,,,5,,
2015-06-19,52,20,23,14,21,,,6,14,6,,,,
2015-06-20,56,20,27,15,23,,6,6,14,,,,,
2015-06-21,51,20,24,13,20,,,6,12,6,,,,
2015-06-22,49,,23,,19,,6,,11,,,,,
2015-06-23,43,17,22,10,19,,,5,11,5,,,,
2015-06-24,43,,21,,19,5,7,5,9,,,,,
2015-06-25,41,18,24,9,19,,5,5,7,5,,,,
2015-06-26,41,15,26,9,19,,8,5,7,5,5,,,
2015-06-27,43,,26,,19,5,8,5,7,,,,,
2015-06-28,42,,25,,19,5,8,5,7,,,,,
2015-06-29,43,,27,,17,5,10,5,8,,,,,
2015-06-30,43,16,25,8,17,,8,5,6,5,5,,,
2015-07-01,40,,25,,,5,8,,6,,,,,
2015-07-02,40,,25,,,,8,,6,,,,,
2015-07-03,42,,24,,,,7,,,,,,,
2015-07-04,43,,23,,,,7,,,,,,,
2015-07-05,42,,24,,,,7,,,,,,,
2015-07-06,43,,22,,,,6,,,,,,,
2015-07-07,44,,23,,,,6,,,,,,,
2015-07-08,44,,26,,,,7,,,,,,,
2015-07-09,34,,25,,,,6,,,,,,,
2015-07-10,33,,26,,,,6,,,,,,,
2015-07-11,32,,27,,,,9,,,,,,,
2015-07-12,38,,27,,,,9,,,,,,,
2015-07-13,42,,28,,,,9,,,,,,,
2015-07-14,40,,29,,,,9,,,,,,,
2015-07-15,43,,27,20,,5,5,,,,,,,
2015-07-16,47,28,27,21,20,5,5,5,,,,,,
