date,London,Reading,Belfast,Manchester,Slough,Birmingham,Bristol,Cambridge,Edinburgh,Coventry,Southall,Twickenham,Guildford,"Hemel Hempstead","See More","Milton Keynes","Kingston upon Thames",Sheffield,Plymouth,Leeds,Oxford,Exeter,Redhill,Ipswich,Stevenage,Nottingham,Northampton,Bath,Warrington,Liverpool,Chester,Preston,Glasgow,Taunton
2015-03-11,1100,102,72,134,50,74,52,100,64,,,,53,,24,,,,,,,24,,,,,,,62,47,33,,,
2015-03-12,914,79,63,77,34,51,37,65,52,,32,29,33,,27,,,,,,,29,,,27,,,,,,,,,
2015-03-16,939,83,69,86,44,33,39,74,56,,32,32,43,,29,,,,,32,,29,,,,,,,,,,,,
2015-03-18,970,86,76,108,42,53,56,77,57,,,35,55,,35,,,,,38,,,,,,,,,57,44,,,,
2015-03-18,973,85,76,103,42,58,56,76,57,,,35,56,,35,,,,,38,,,,,,,,,56,42,,,,
2015-03-19,964,82,79,105,40,63,53,77,59,,,,55,,34,,,,,35,,34,,,,,,,56,43,,,,
2015-03-20,957,83,79,101,40,67,54,78,47,,,35,57,,35,,,,,36,,,,,,,,,60,44,,,,
2015-03-21,948,81,79,101,40,67,54,77,47,,,36,57,,36,,,,,36,,,,,,,,,60,44,,,,
2015-03-22,937,80,79,101,40,66,54,77,46,,,,57,,34,,,,,36,,,,,,,,,60,44,,,,34
2015-03-23,925,80,80,100,40,70,54,76,47,,,,55,,34,,,,,36,,,,,34,,,,62,44,,,,
2015-03-24,893,82,72,61,47,58,43,70,46,,31,33,46,,30,,,,,32,,30,,,,,,,,,,,,
2015-03-25,910,82,74,63,46,58,41,66,41,,32,36,46,,31,,,,,31,,,,,31,,,,,,,,,
2015-03-26,900,87,77,60,45,59,43,64,44,,32,32,47,,30,,,,,30,,30,,,,,,,,,,,,
2015-03-27,924,90,71,61,46,56,47,62,41,,32,36,46,,28,,,,,,,29,,,28,,,,,,,,,
2015-03-28,902,88,76,59,45,56,49,63,41,,32,34,49,,29,,,,,,,29,,,29,,,,,,,,,
2015-03-29,900,86,73,66,44,56,50,62,40,,32,35,51,,29,,,,,,,29,,,,,,,,,,,29,
2015-03-30,913,91,68,63,43,56,47,60,38,,33,37,47,,29,,,,,,,30,,,29,,,,,,,,,
2015-03-31,883,88,65,76,43,59,54,63,,,,,53,,23,,29,,,,,,,,,,,,39,32,27,23,,
2015-04-01,853,91,60,54,45,61,50,63,37,,33,36,51,,30,,,,,,,30,,,33,,,,,,,,,
2015-04-02,870,89,67,59,48,58,57,66,38,,32,36,50,,31,,,,,,,31,,,33,,,,,,,,,
2015-04-03,869,87,73,64,48,63,53,64,38,,32,37,48,,30,,,,,,,30,,,32,,,,,,,,,
2015-04-04,912,84,69,61,44,64,50,64,38,,31,38,49,,31,,,,,,,31,,,32,,,,,,,,,
2015-04-05,910,83,75,66,44,62,51,63,39,,32,37,47,,32,,,,,,,32,,,32,,,,,,,,,
2015-04-06,864,86,72,66,46,59,51,63,38,,32,37,47,,31,,,,,,,32,,,31,,,,,,,,,
2015-04-07,919,91,71,67,45,63,58,66,40,,32,37,47,,31,,,,,,,31,,,35,,,,,,,,,
2015-04-08,921,94,72,67,41,66,72,76,38,,,37,62,,37,,,,,,,37,,,49,,,38,,,,,,
2015-04-09,921,94,63,68,38,64,67,72,,,,35,58,,35,36,,,,,,38,,,46,,,39,,,,,,
2015-04-10,931,96,62,70,38,67,68,74,,,38,,58,,37,37,,,,,,38,,,46,,,42,,,,,,
2015-04-11,932,95,77,66,36,61,71,70,40,,36,,57,,36,,,,,,,,37,,50,,,39,,,,,,
2015-04-12,923,95,77,64,,61,71,70,40,,36,,57,,35,,,,,,,35,37,,50,,,39,,,,,,
2015-04-13,926,95,77,63,36,62,69,68,38,,,,60,,35,,,,,,,35,37,,50,,,38,,,,,,
2015-04-14,926,94,80,64,35,59,71,74,38,,,,62,,35,39,,,,,,36,,,45,,,38,,,,,,
2015-04-15,924,95,80,60,34,60,71,72,40,,,,60,,34,39,,,,,,39,,,50,,,36,,,,,,
2015-04-16,922,100,83,67,37,59,73,69,40,,,,59,,37,38,,,,,,38,,,47,,,37,,,,,,
2015-04-17,951,108,84,68,37,65,78,71,40,,,,57,,37,44,,,,,,39,,,48,,,38,,,,,,
2015-04-18,1167,158,84,93,,111,96,84,52,,,,69,,48,48,,,,63,,48,51,,67,,,,,,,,,
2015-04-19,1310,172,85,105,,127,106,104,64,,,,87,,56,57,,,,91,,,65,,74,,56,,,,,,,
2015-04-20,1360,166,86,111,54,120,104,106,64,,,,89,,54,54,,,,93,,,63,,73,,,,,,,,,
