date,London,Reading,Twickenham,"Milton Keynes",Slough
2015-03-11,138,6,6,,
2015-03-12,161,7,7,,5
2015-03-16,166,6,7,,
2015-03-18,170,7,7,,
2015-03-18,170,7,7,,
2015-03-19,169,5,7,,
2015-03-20,175,6,7,,
2015-03-21,173,6,7,,
2015-03-22,172,6,7,,
2015-03-23,168,5,8,,
2015-03-24,161,,8,,
2015-03-25,160,,8,,
2015-03-26,151,5,8,,
2015-03-27,161,5,6,,
2015-03-28,159,5,6,,
2015-03-29,156,5,6,,
2015-03-30,153,6,6,,
2015-03-31,152,6,6,,
2015-04-01,142,7,6,,
2015-04-02,136,6,6,,
2015-04-03,136,6,5,,
2015-04-04,134,6,5,,
2015-04-05,132,6,5,,
2015-04-06,132,6,5,,
2015-04-07,135,6,6,,
2015-04-08,140,6,6,5,
2015-04-09,134,7,5,,
2015-04-10,142,7,5,,
