Country,Sector,OrgType,Involvement,capability_Advanced_computing,capability_Data_skills,capability_Data_visualisation,capability_Domain_expertise,capability_Machine_learning,capability_Math_and_statistics,capability_Open_Culture,capability_Scientific_method,Skills_Advanced_computing,Skills_Data_skills,Skills_Data_visualisation,Skills_Domain_expertise,Skills_Machine_learning,Skills_Math_and_statistics,Skills_Open_Culture,Skills_Scientific_method,Training_Accredited,Training_Assessed,Training_Coaching,Training_Face_to_face_training,Training_Internal_assignments,Training_Tailored_to_sector,Training_Translated_from_English,Training_Uses_nonopen_nonfree_software,Training_Webinars,Training_eLearning
"United Kingdom",Government_and_public_sector,,"Data scientist",3,3,3,2,3,3,2,3,not_required,essential,nice_to_have,essential,not_required,nice_to_have,nice_to_have,nice_to_have,nice_to_have,not_required,not_required,essential,not_required,essential,not_required,nice_to_have,nice_to_have,essential
Germany,Data_and_Information_Systems,,Other,1,1,1,0,0,2,1,1,not_required,nice_to_have,essential,not_required,not_required,essential,nice_to_have,essential,nice_to_have,not_required,not_required,essential,not_required,nice_to_have,essential,nice_to_have,essential,essential
"United Kingdom",Health,,Other,0,1,1,2,0,1,2,2,essential,essential,essential,nice_to_have,nice_to_have,essential,essential,essential,nice_to_have,not_required,nice_to_have,essential,not_required,essential,not_required,not_required,nice_to_have,nice_to_have
Poland,Energy,,"Data scientist",4,4,3,3,3,3,4,4,nice_to_have,nice_to_have,nice_to_have,nice_to_have,essential,essential,essential,essential,nice_to_have,nice_to_have,essential,essential,nice_to_have,nice_to_have,not_required,essential,nice_to_have,nice_to_have
Sweden,Media_and_Advertising,,"Data scientist",3,3,3,3,3,4,3,3,essential,essential,essential,nice_to_have,nice_to_have,nice_to_have,nice_to_have,essential,essential,essential,essential,essential,not_required,nice_to_have,not_required,not_required,nice_to_have,not_required
"United Kingdom",Data_and_Information_Systems,,Manager,,,,,,,,,nice_to_have,essential,essential,essential,nice_to_have,essential,essential,nice_to_have,nice_to_have,not_required,not_required,essential,not_required,nice_to_have,nice_to_have,nice_to_have,essential,essential
"United Kingdom",Consultancy,,Other,3,1,4,3,1,4,3,4,nice_to_have,essential,essential,not_required,not_required,essential,not_required,essential,essential,essential,not_required,nice_to_have,not_required,nice_to_have,nice_to_have,not_required,nice_to_have,nice_to_have
Netherlands,Environment,,"Data scientist",,,,,,,,,essential,essential,nice_to_have,nice_to_have,not_required,nice_to_have,nice_to_have,nice_to_have,nice_to_have,nice_to_have,essential,essential,nice_to_have,essential,not_required,nice_to_have,essential,essential
Netherlands,Health,,"Data scientist",1,2,2,2,4,1,,2,essential,essential,nice_to_have,essential,not_required,nice_to_have,not_required,essential,nice_to_have,not_required,not_required,not_required,not_required,nice_to_have,nice_to_have,nice_to_have,essential,essential
Sweden,Education,,"Data scientist",3,2,2,1,4,2,1,2,essential,nice_to_have,nice_to_have,nice_to_have,essential,essential,not_required,nice_to_have,not_required,not_required,essential,essential,not_required,nice_to_have,not_required,nice_to_have,essential,essential
,,,Other,,,,,,,,,nice_to_have,nice_to_have,nice_to_have,not_required,not_required,not_required,essential,essential,nice_to_have,not_required,not_required,essential,not_required,nice_to_have,nice_to_have,nice_to_have,essential,essential
Germany,Consultancy,,Manager,4,4,1,4,1,3,3,2,nice_to_have,essential,essential,essential,nice_to_have,essential,not_required,nice_to_have,essential,essential,essential,nice_to_have,essential,essential,nice_to_have,nice_to_have,essential,essential
Germany,Finance_Insurance_and_Real_Estate,,Manager,,3,,,,2,,,nice_to_have,essential,essential,nice_to_have,nice_to_have,essential,not_required,nice_to_have,essential,nice_to_have,nice_to_have,essential,not_required,nice_to_have,nice_to_have,nice_to_have,nice_to_have,nice_to_have
"United Kingdom",Health,,Other,0,2,1,3,1,1,2,2,essential,essential,essential,essential,nice_to_have,essential,nice_to_have,essential,nice_to_have,nice_to_have,essential,essential,not_required,essential,not_required,not_required,essential,not_required
Sweden,Data_and_Information_Systems,,"Data scientist",2,3,2,1,3,3,2,3,nice_to_have,essential,essential,not_required,nice_to_have,nice_to_have,not_required,essential,nice_to_have,nice_to_have,nice_to_have,essential,essential,not_required,nice_to_have,not_required,nice_to_have,essential
"United Kingdom",Consumer_services,,"Data scientist",2,4,3,2,3,1,3,2,nice_to_have,essential,essential,nice_to_have,nice_to_have,nice_to_have,nice_to_have,essential,not_required,not_required,not_required,essential,not_required,not_required,not_required,not_required,essential,nice_to_have
Germany,Government_and_public_sector,,"Data scientist",3,3,3,3,4,3,3,3,nice_to_have,nice_to_have,nice_to_have,not_required,not_required,not_required,essential,essential,nice_to_have,not_required,not_required,essential,not_required,nice_to_have,nice_to_have,nice_to_have,essential,essential
France,Transport,,Other,1,1,1,1,1,0,1,1,essential,nice_to_have,essential,nice_to_have,essential,nice_to_have,nice_to_have,essential,nice_to_have,nice_to_have,essential,essential,nice_to_have,essential,nice_to_have,not_required,nice_to_have,nice_to_have
Estonia,Data_and_Information_Systems,,"Data scientist",3,4,3,2,3,3,2,4,essential,essential,essential,nice_to_have,nice_to_have,nice_to_have,nice_to_have,essential,not_required,not_required,nice_to_have,essential,not_required,not_required,not_required,not_required,nice_to_have,essential
Germany,Data_and_Information_Systems,,"Data scientist",1,3,1,3,3,3,2,4,not_required,essential,essential,nice_to_have,nice_to_have,essential,nice_to_have,essential,essential,nice_to_have,essential,nice_to_have,nice_to_have,essential,nice_to_have,not_required,nice_to_have,essential
Slovenia,Data_and_Information_Systems,,"Data scientist",2,3,2,1,3,2,1,2,essential,essential,essential,nice_to_have,essential,nice_to_have,nice_to_have,essential,nice_to_have,nice_to_have,nice_to_have,essential,not_required,nice_to_have,nice_to_have,not_required,essential,essential
Germany,Consultancy,,"Data scientist",1,2,1,3,1,1,3,2,nice_to_have,essential,nice_to_have,essential,nice_to_have,essential,essential,essential,essential,nice_to_have,nice_to_have,essential,nice_to_have,nice_to_have,not_required,nice_to_have,nice_to_have,nice_to_have
"United Kingdom",Data_and_Information_Systems,,"Data scientist",4,4,4,4,1,2,4,4,essential,essential,essential,essential,nice_to_have,nice_to_have,not_required,nice_to_have,not_required,not_required,nice_to_have,essential,not_required,not_required,not_required,nice_to_have,nice_to_have,essential
"United Kingdom",Government_and_public_sector,,Other,0,1,2,1,0,2,3,1,nice_to_have,nice_to_have,nice_to_have,not_required,not_required,not_required,essential,essential,nice_to_have,not_required,not_required,essential,not_required,nice_to_have,nice_to_have,nice_to_have,essential,essential
Germany,Government_and_public_sector,,"Data scientist",,,,,2,2,,,essential,nice_to_have,nice_to_have,not_required,essential,essential,nice_to_have,essential,not_required,not_required,not_required,essential,not_required,not_required,not_required,not_required,nice_to_have,not_required
Germany,Telecomms,,Manager,2,3,3,4,3,3,3,1,essential,nice_to_have,essential,essential,nice_to_have,essential,nice_to_have,nice_to_have,essential,essential,essential,nice_to_have,essential,nice_to_have,essential,nice_to_have,nice_to_have,nice_to_have
"United Kingdom",Government_and_public_sector,,Other,0,2,1,2,0,1,0,0,nice_to_have,essential,essential,essential,nice_to_have,essential,nice_to_have,nice_to_have,nice_to_have,not_required,not_required,essential,not_required,nice_to_have,not_required,nice_to_have,essential,essential
Netherlands,Agriculture,,Manager,,4,,4,,,,,nice_to_have,essential,nice_to_have,essential,nice_to_have,not_required,not_required,not_required,nice_to_have,not_required,not_required,essential,not_required,essential,nice_to_have,not_required,nice_to_have,essential
Italy,Government_and_public_sector,,"Data scientist",,,,,,,4,4,nice_to_have,nice_to_have,nice_to_have,not_required,not_required,not_required,essential,essential,nice_to_have,not_required,not_required,essential,not_required,nice_to_have,nice_to_have,nice_to_have,essential,essential
"United Kingdom",Consultancy,,Other,,,,,,,,,nice_to_have,essential,essential,nice_to_have,essential,essential,nice_to_have,essential,not_required,not_required,essential,essential,not_required,essential,not_required,not_required,nice_to_have,nice_to_have
"United Kingdom",,,"Data scientist",,,,,,,,,essential,nice_to_have,essential,nice_to_have,nice_to_have,essential,not_required,essential,nice_to_have,essential,not_required,not_required,essential,not_required,not_required,essential,essential,essential
Germany,Data_and_Information_Systems,,"Data scientist",3,1,3,1,3,2,2,3,essential,nice_to_have,nice_to_have,essential,essential,essential,essential,essential,not_required,nice_to_have,essential,essential,nice_to_have,nice_to_have,not_required,not_required,essential,essential
